name,type,star_rating,review_sum,address,contact
하구,요리주점,정보 없음,526,서울 종로구 돈화문로11나길 26-18 하구,0507-1342-5767
행아웃,"맥주,호프",4.38,815,서울 종로구 돈화문로11다길 29,0507-1304-3624
아담집,이자카야,4.38,815,서울 종로구 돈화문로11다길 29,0507-1304-3624
시미시미,요리주점,정보 없음,394,서울 종로구 삼일대로30길 49,010-9327-8138
보글하우스,"맥주,호프",정보 없음,189,서울 종로구 삼일대로32길 44 1층 101호,0507-1357-3244
아담집별관,이자카야,정보 없음,156,서울 종로구 돈화문로11나길 26-3 1층,0507-1463-2358
옳은,요리주점,4.33,139,서울 종로구 돈화문로11가길 65,070-4217-6685
아트몬스터 익선동점,"맥주,호프",4.33,139,서울 종로구 돈화문로11가길 65,070-4217-6685
리장수 라운지,양식,4.38,422,서울 종로구 수표로28길 17-15,0507-1360-8265
배수사,이자카야,4.38,422,서울 종로구 수표로28길 17-15,0507-1360-8265
