name,type,star_rating,review_sum,address,contact
한옥랑솜 익선동카페,"카페,디저트",정보 없음,906,서울 종로구 수표로28길 21-6 1층,0507-1352-2185
익선주택,"카페,디저트",4.42,정보 없음,서울 종로구 수표로28길 17-33 1층,0507-1309-9208
서울커피 익선점,"카페,디저트",4.42,정보 없음,서울 종로구 수표로28길 17-33 1층,0507-1309-9208
청수당 베이커리,"카페,디저트",4.39,정보 없음,서울 종로구 돈화문로11나길 31-9,0507-1318-8215
익선주택,"카페,디저트",4.39,정보 없음,서울 종로구 돈화문로11나길 31-9,0507-1318-8215
익선잡방,브런치,4.46,정보 없음,서울 종로구 수표로28길 17-21 익선잡방,0507-1313-3418
식물,카페,4.46,정보 없음,서울 종로구 수표로28길 17-21 익선잡방,0507-1313-3418
소하염전,"카페,디저트",정보 없음,정보 없음,서울 종로구 수표로28길 21-5 (익선동),0507-1353-8215
카페 라미스콘 익선점,"카페,디저트",4.25,정보 없음,서울 종로구 돈화문로11나길 25,0507-1342-9562
치즈인더스트리 [치즈공업사],"카페,디저트",4.25,정보 없음,서울 종로구 돈화문로11나길 25,0507-1342-9562
