name,type,star_rating,review_sum,address,contact
메이나인쓰,공방,4.75,420,서울 종로구 돈화문로11나길 18 1층,010-3460-4564
휘향찬란,공예용품,4.75,420,서울 종로구 돈화문로11나길 18 1층,010-3460-4564
한아름송이,"꽃집,꽃배달",4.92,373,서울 종로구 대학로11길 27 1층 꽃집,0507-1303-6130
프루스트,공방,4.92,373,서울 종로구 대학로11길 27 1층 꽃집,0507-1303-6130
반지그리기,공방,4.97,정보 없음,서울 종로구 창경궁로26길 38-3,0507-1333-3552
동림매듭공방,박물관,정보 없음,43,서울 종로구 북촌로12길 10,02-3673-2778
반지야놀자 종로본점,공방,5,472,서울 종로구 수표로 105 7층,0507-1435-1583
디셈브레 안국,공방,5,472,서울 종로구 수표로 105 7층,0507-1435-1583
노벨라플라워,"꽃집,꽃배달",정보 없음,37,서울 중구 을지로12길 12 3층 301호 302호,0507-1479-9557
메이드인러브,공방,정보 없음,126,"서울 종로구 성균관로 8-1 2f, first door",0507-1362-3207
