name,type,star_rating,review_sum,address,contact
빅파이브 종로점,요리주점,4.27,462,"서울 종로구 수표로 115 2, 3층",0507-1370-0939
JH텍사스바,"맥주,호프",4.27,462,"서울 종로구 수표로 115 2, 3층",0507-1370-0939
종로술집,"맥주,호프",정보 없음,11,서울 종로구 율곡로8길 101 지하1층,0507-1437-0890
을지로 골목집,술집,4.34,정보 없음,서울 중구 수표로 48-3 1층,02-2275-0405
만선호프 노가리체인본점,"맥주,호프",4.34,정보 없음,서울 중구 수표로 48-3 1층,02-2275-0405
04판,요리주점,정보 없음,484,서울 종로구 대명1길 21,0507-1318-1711
해물점1978,포장마차,4.72,856,서울 종로구 청계천로 63-1 1층,0507-1349-1978
동화,요리주점,4.72,856,서울 종로구 청계천로 63-1 1층,0507-1349-1978
서울집시,"맥주,호프",4.5,1122,서울 종로구 서순라길 107,02-743-1212
하구,요리주점,4.5,1122,서울 종로구 서순라길 107,02-743-1212
서울88맥주,"맥주,호프",4.53,768,서울 종로구 율곡로8길 102 1층 서울88맥주,0507-1494-4441
원조만선호프,"맥주,호프",4.53,768,서울 종로구 율곡로8길 102 1층 서울88맥주,0507-1494-4441
행아웃,"맥주,호프",4.38,815,서울 종로구 돈화문로11다길 29,0507-1304-3624
JH텍사스바,"맥주,호프",4.38,815,서울 종로구 돈화문로11다길 29,0507-1304-3624
꽃지로,이자카야,4.08,910,서울 중구 을지로12길 16 꽃지로,0507-1402-3133
아담집,이자카야,4.08,910,서울 중구 을지로12길 16 꽃지로,0507-1402-3133
술비,요리주점,정보 없음,194,서울 종로구 대학로14길 17 1층 술비,0507-1369-7415
몽롱 종각점,요리주점,정보 없음,488,서울 종로구 삼일대로17길 42-1 1~4층 몽롱,0507-1479-6024
주마등,요리주점,정보 없음,1024,"서울 중구 충무로5길 23 1층, 2층",0507-1362-6755
독일주택,술집,4.51,1336,서울 종로구 대명1길 16-4,02-742-1933
와,이자카야,4.51,1336,서울 종로구 대명1길 16-4,02-742-1933
야젠 1호점,이자카야,정보 없음,541,서울 종로구 종로31길 10,0507-1400-1485
우즈 웨일,와인,정보 없음,202,서울 종로구 종로 88 bar 우즈 웨일,0507-1328-5151
bar420,와인,4.54,539,서울 종로구 종로16길 31-6,0507-1327-1456
서울바당,술집,4.54,539,서울 종로구 종로16길 31-6,0507-1327-1456
떡상,요리주점,정보 없음,219,서울 종로구 인사동14길 43 1층 떡상,0507-1431-7734
을지맥옥,"맥주,호프",4.26,정보 없음,서울 중구 수표로 48-16,02-2272-1825
야젠 2호점,이자카야,4.26,정보 없음,서울 중구 수표로 48-16,02-2272-1825
옥상,"맥주,호프",4.25,746,서울 종로구 돈화문로11길 6,0507-1478-5859
15번출구,"맥주,호프",4.25,746,서울 종로구 돈화문로11길 6,0507-1478-5859
비스라운지,술집,정보 없음,476,서울 종로구 대학로 135-8 단독건물 비스라운지,0507-1414-1176
꽃피는산골,요리주점,4.39,661,서울 종로구 종로11길 17,0507-1412-7963
술라,"맥주,호프",4.39,661,서울 종로구 종로11길 17,0507-1412-7963
달빛마루,요리주점,4.33,807,서울 종로구 대학로11길 24-1,0507-1418-6787
루나소사이어티,요리주점,4.33,807,서울 종로구 대학로11길 24-1,0507-1418-6787
달막달막,요리주점,4.51,368,서울 종로구 인사동16길 11-1,02-739-2220
시미시미,요리주점,4.51,368,서울 종로구 인사동16길 11-1,02-739-2220
술패도니,이자카야,4.12,968,서울 종로구 종로10길 13 2층,02-733-6599
법원,술집,4.12,968,서울 종로구 종로10길 13 2층,02-733-6599
맥썸 대학로점,"맥주,호프",4.45,668,서울 종로구 대명길 9 2층,02-766-3888
Projec D,"맥주,호프",4.45,668,서울 종로구 대명길 9 2층,02-766-3888
빅파이브 종로점,요리주점,4.27,462,"서울 종로구 수표로 115 2, 3층",0507-1370-0939
청계천 휴,"맥주,호프",4.27,462,"서울 종로구 수표로 115 2, 3층",0507-1370-0939
고엔,이자카야,정보 없음,691,서울 종로구 창경궁로 255 1층,0507-1319-5042
끄티집 종로점,요리주점,정보 없음,320,서울 종로구 삼일대로19길 20 1~4층,02-725-7772
이태리양조장 종각역점,"맥주,호프",정보 없음,218,서울 종로구 삼일대로17길 50 1층,0507-1303-2760
애월객잔,이자카야,4.42,733,서울 중구 을지로12길 27 1층 애월객잔,0507-1426-7636
헝그리서울,요리주점,4.42,733,서울 중구 을지로12길 27 1층 애월객잔,0507-1426-7636
엘지포차,포장마차,정보 없음,127,서울 종로구 종로39길 16-1 1층,0507-1384-6902
을지로술집,요리주점,4.52,463,서울 중구 마른내로 18 저동빌딩 지층 을지로술집,02-2268-7741
영지인 종각점,요리주점,4.52,463,서울 중구 마른내로 18 저동빌딩 지층 을지로술집,02-2268-7741
을지상회,포장마차,정보 없음,200,서울 중구 충무로5길 27 3층(을지로3가),0507-1341-2241
인사동노가리,"맥주,호프",4.64,298,서울 종로구 인사동3길 14 1층 인사동노가리,070-8958-0930
코너숍,요리주점,4.64,298,서울 종로구 인사동3길 14 1층 인사동노가리,070-8958-0930
