create_time,area,name,type,star_rating,review_sum,address,contact
2023-08-12 22:31:30,jongno,스매싱볼 종로점,볼링장,4.01,292,서울 종로구 종로 78 지하1층,02-723-2231
2023-08-12 22:31:30,jongno,제이앤제이볼링센터,볼링장,4.01,292,서울 종로구 종로 78 지하1층,02-723-2231
2023-08-12 22:31:30,jongno,나인티나인,볼링장,4.43,387,서울 종로구 종로12길 15 4층,02-723-0923
2023-08-12 22:31:30,jongno,볼링볼링,볼링장,4.19,257,서울 종로구 대학로 144 4층 나인티나인,02-744-9994
2023-08-12 22:31:30,jongno,어썸라운지볼24,볼링장,4.48,866,서울 중구 청계천로 400 롯데캐슬베네치아 메가몰동 지하1층,0507-1320-6606
2023-08-12 22:31:30,jongno,원서레인스,볼링장,4.14,86,서울 종로구 성균관로 12 유니지오,0507-1414-4543
2023-08-12 22:31:30,jongno,MONKEY볼링센터,볼링장,4.14,291,서울 중구 장충단로 253 헬로우APM,02-6388-3456
2023-08-12 22:31:30,jongno,굿모닝시티볼,볼링장,4.14,291,서울 중구 장충단로 253 헬로우APM,02-6388-3456
2023-08-12 22:31:30,jongno,청석개발,볼링장,4.28,528,서울 중구 장충단로 247 5층,02-2268-0924
2023-08-12 22:31:30,jongno,라운지볼,볼링장,4.21,175,서울 종로구 창덕궁1길 13,02-742-5620
2023-08-12 22:31:30,jongno,코끼리볼링장,볼링장,4.38,46,"서울 종로구 성균관로 12 (명륜2가, 유니지오) 지하1층",02-2268-6074
2023-08-12 22:31:30,jongno,엘씨아이볼링장,볼링장,4.48,262,서울 중구 퇴계로 166 흥국빌딩 B1,02-2268-6074
