name,type,star_rating,review_sum,address,contact
보드게임카페 주사위왕국,보드카페,4.41,217,서울 종로구 우정국로2길 42 5층 주사위왕국,0507-1330-4562
퍼스트보드게임카페 대학로점,보드카페,4.41,217,서울 종로구 우정국로2길 42 5층 주사위왕국,0507-1330-4562
보드게임카페 주사위왕국,보드카페,4.93,정보 없음,서울 종로구 대학로 130 3층,0507-1482-1259
보드게임카페 레드버튼 대학로점,보드카페,4.41,217,서울 종로구 우정국로2길 42 5층 주사위왕국,0507-1330-4562
보드게임카페 보드스토리,보드카페,4.4,406,서울 종로구 종로12길 16 대성빌딩,02-732-5400
플렉스 보드게임카페,보드카페,4.4,406,서울 종로구 종로12길 16 대성빌딩,02-732-5400
인생이 보드게임,보드카페,4.67,295,서울 종로구 종로 119 3층 FLEX 보드게임카페,0507-1485-0369
히어로보드게임카페 대학로점,보드카페,정보 없음,376,서울 종로구 대학로10길 12 2층 히어로보드게임카페,0507-1393-2901
펀타임 대학로점,보드카페,4.16,171,서울 종로구 대명길 24 5층,070-7568-0327
블랙문,보드카페,4.16,171,서울 종로구 대명길 24 5층,070-7568-0327
블랙조커 동묘점,보드카페,정보 없음,2,서울 종로구 종로 336 2층,0507-1432-9077
모나코,보드카페,정보 없음,8,서울 중구 명동길 38 7층,0507-1413-8188
레드다이스,보드카페,4.22,41,서울 종로구 창경궁로29길 25 명륜빌딩 명륜빌딩 2층 202호,02-765-7455
보드게임 101,보드카페,4.22,41,서울 종로구 창경궁로29길 25 명륜빌딩 명륜빌딩 2층 202호,02-765-7455
동대문 홀덤,보드카페,4.24,197,서울 종로구 새문안로3길 23 경희궁의아침4단지 B2 107호,0507-1393-0688
플레이보드카페,보드카페,정보 없음,0,서울 중구 필동로 31 2층,0507-1379-3135
