name,type,star_rating,review_sum,address,contact
꽃담,차,4.46,428,서울 종로구 인사동길 19-2 와담빌딩 2층,02-730-4120
열시꽃,"카페,디저트",4.46,428,서울 종로구 인사동길 19-2 와담빌딩 2층,02-730-4120
아베베베이커리 서울,베이커리,정보 없음,1470,"서울 종로구 청계천로 201 1, 2, 3층",0507-1381-7206
서울커피 익선점,"카페,디저트",4.5,정보 없음,서울 종로구 수표로28길 33-3 1층 서울커피,0507-1404-4890
청수당 베이커리,"카페,디저트",4.5,정보 없음,서울 종로구 수표로28길 33-3 1층 서울커피,0507-1404-4890
토오베,차,정보 없음,1386,서울 종로구 인사동길 62-4 3층,0507-1489-7720
시애틀커피하우스,"카페,디저트",정보 없음,117,서울 종로구 종로 125 1층,0507-1321-9356
포비 광화문,베이커리,4.53,정보 없음,서울 종로구 종로3길 17 D타워 1층 21호,02-2251-8125
을지로 베로나,"카페,디저트",4.53,정보 없음,서울 종로구 종로3길 17 D타워 1층 21호,02-2251-8125
티퍼런스서울,"카페,디저트",4.69,1063,서울 종로구 돈화문로 61 티퍼런스서울,02-745-1501
커피한약방,카페,4.69,1063,서울 종로구 돈화문로 61 티퍼런스서울,02-745-1501
서울바나나커피 을지로4가점,카페,정보 없음,574,"서울 중구 을지로 157 3층 다362호, 라362호",02-2276-0327
크라상점 광장시장점,베이커리,정보 없음,50,서울 종로구 종로32길 25 1층,010-7552-0330
뮤직컴플렉스서울 안녕인사동점,"카페,디저트",정보 없음,1324,서울 종로구 인사동길 49 안녕인사동 5층 뮤직컴플렉스서울,0507-1308-2939
공간갑,"카페,디저트",4.71,정보 없음,"서울 중구 수표로 48-8 1, 2층",0507-1362-4569
아방베이커리 을지로 DGB점,베이커리,4.71,정보 없음,"서울 중구 수표로 48-8 1, 2층",정보 없음
호랑이,카페,4.43,정보 없음,서울 중구 을지로 157,0507-1305-5880
익선주택,"카페,디저트",4.43,정보 없음,서울 중구 을지로 157,0507-1305-5880
카페하이웨스트 익선점,"카페,디저트",4.34,정보 없음,서울 종로구 돈화문로11다길 18,정보 없음
익선잡방,브런치,4.34,정보 없음,서울 종로구 돈화문로11다길 18,0507-1313-3418
적당,"카페,디저트",4.46,정보 없음,서울 종로구 수표로28길 17-21 익선잡방,0507-1313-3418
테르트르,카페,4.25,정보 없음,서울 종로구 낙산5길 46,0507-1388-5689
르베르디마카롱,"카페,디저트",4.25,정보 없음,서울 종로구 낙산5길 46,0507-1388-5689
데코르,베이커리,정보 없음,445,서울 종로구 종로 51 1F 데코르 종로타워점,0507-1361-3755
노티드 안국,카페,4.44,정보 없음,서울 종로구 북촌로 6-3 1층,070-7755-9377
도토리가든,"카페,디저트",4.44,정보 없음,서울 종로구 북촌로 6-3 1층,070-7755-9377
커피루소 정동,"카페,디저트",4.43,정보 없음,서울 중구 정동길 17 1층,02-772-9935
미크플로 광장시장점,"카페,디저트",4.43,정보 없음,서울 중구 정동길 17 1층,02-772-9935
빠우 시청점,도넛,정보 없음,208,서울 중구 남대문로9길 40 센터플레이스 1층 102호,0507-1476-8914
식물,카페,4.41,정보 없음,서울 종로구 돈화문로11다길 46-1,02-742-7582
결,"카페,디저트",4.41,정보 없음,서울 종로구 돈화문로11다길 46-1,02-742-7582
블루보틀 광화문 카페,블루보틀,4.5,정보 없음,서울 종로구 청계천로 11 1층,1533-6906
덕수궁 리에제와플,와플,4.5,정보 없음,서울 종로구 청계천로 11 1층,1533-6906
소하염전,"카페,디저트",정보 없음,정보 없음,서울 종로구 수표로28길 21-5 (익선동),0507-1353-8215
카페 카다로그,"카페,디저트",4.37,703,서울 중구 을지로 105 이화빌딩 4층 401호,0507-1357-1868
프릳츠 원서점,카페,4.37,703,서울 중구 을지로 105 이화빌딩 4층 401호,0507-1357-1868
학림,카페,4.52,정보 없음,서울 종로구 대학로 119 2층 학림카페,02-742-2877
온,"카페,디저트",4.52,정보 없음,서울 종로구 대학로 119 2층 학림카페,02-742-2877
사월의물고기,베이커리,4.59,1531,서울 종로구 인사동길 62-5 (충훈빌딩) 2층,02-733-8520
카페 라미스콘 익선점,"카페,디저트",4.59,1531,서울 종로구 인사동길 62-5 (충훈빌딩) 2층,02-733-8520
오얏꽃,카페,4.19,정보 없음,서울 종로구 돈화문로11다길 15,02-762-8233
공차 종로센트로폴리스점,차,4.19,정보 없음,서울 종로구 돈화문로11다길 15,02-762-8233
치즈인더스트리 [치즈공업사],"카페,디저트",정보 없음,666,서울 종로구 수표로28길 33-7,0507-1363-1722
다만프레르 SFC점,홍차전문점,4.55,정보 없음,서울 중구 세종대로 136 파이넨스빌딩 지하1층,02-6730-1323
빠우,도넛,4.55,정보 없음,서울 중구 세종대로 136 파이넨스빌딩 지하1층,02-6730-1323
카페첫만남,"카페,디저트",4.3,1165,서울 종로구 대학로9길 12,02-766-2337
낙원역,카페,4.3,1165,서울 종로구 대학로9길 12,02-766-2337
텅,카페,정보 없음,1499,서울 종로구 율곡로 82 701호,02-766-1933
라운드앤드,베이커리,4.42,정보 없음,서울 중구 정동길 35 두비빌딩,02-753-7003
광장시장 찹쌀꽈배기,베이커리,4.42,정보 없음,서울 중구 정동길 35 두비빌딩,02-753-7003
오키드고멧 안국,"카페,디저트",정보 없음,65,서울 종로구 창덕궁길 35 2층 오키드고멧 안국,0507-1387-7335
홍콩밀크컴퍼니,"카페,디저트",정보 없음,119,서울 종로구 창신12길 53 1~2층,0507-1377-7402
15미뉴엣,"카페,디저트",정보 없음,300,서울 중구 마른내로 18 1층,010-5555-6948
포비 을지로점,베이커리,4.49,정보 없음,서울 중구 청계천로 100 시그니처 타워 1층,02-6020-0880
