create_time,area,name,type,star_rating,review_sum,address,contact
2023-08-12 21:58:16,jongno,놀숲 종로관철점,만화방,4.47,678,서울 종로구 삼일대로17길 8 대신빌딩 3층,02-730-2049
2023-08-12 21:58:16,jongno,벌툰 인더스트리얼 종각점,만화방,4.47,678,서울 종로구 삼일대로17길 8 대신빌딩 3층,02-730-2049
2023-08-12 21:58:16,jongno,무림만화카페,만화방,4.39,570,서울 종로구 종로14길 9 / 3층 벌툰 만화카페,02-739-5367
2023-08-12 21:58:16,jongno,콩툰 대학로점,만화방,4.45,135,서울 종로구 삼일대로19길 15 5층 무림만화카페,02-739-8800
2023-08-12 21:58:16,jongno,벌툰 인더스트리얼 대학로점,만화방,4.01,370,서울 종로구 대학로 122 지하,0507-1357-7178
2023-08-12 21:58:16,jongno,콩툰 동대문APM점,만화방,4.43,521,서울 종로구 대학로10길 26,02-742-4158
2023-08-12 21:58:16,jongno,24시 프리카페 성균관대점,만화방,4.49,354,서울 중구 장충단로 253 헬로우APM 지하160호,02-6388-0909
2023-08-12 21:58:16,jongno,왕자만화방,만화방,정보 없음,4,서울 종로구 윤보선길 31,정보 없음
2023-08-12 21:58:16,jongno,점보만화방,만화방,정보 없음,2,서울 종로구 종로44길 14,정보 없음
2023-08-12 21:58:16,jongno,제이지북,만화방,정보 없음,0,서울 종로구 종로44길 8,정보 없음
2023-08-12 21:58:16,jongno,네스트 키즈,"카페,디저트",정보 없음,104,서울 중구 소공로 48 2층,0507-1326-5730
2023-08-12 21:58:16,jongno,놀숲 충무로동국대점,만화방,4.24,203,서울 중구 서애로 6-1 3층,02-2272-3843
2023-08-12 21:58:16,jongno,hpd,인테리어디자인,4.24,203,서울 중구 서애로 6-1 3층,02-2272-3843
2023-08-12 21:58:16,jongno,가구공간,업소용가구,정보 없음,1,서울 중구 퇴계로 421,0507-1338-7480
