create_time,area,name,type,star_rating,review_sum,address,contact
2023-08-12 22:46:05,jongno,라이브콘서트7080,라이브카페,정보 없음,1,서울 종로구 수표로 132-1,정보 없음
2023-08-12 22:46:05,jongno,갤러리콘서트카페 시가연,갤러리카페,정보 없음,9,서울 종로구 인사동길 52 지하1층,02-720-6244
2023-08-12 22:46:05,jongno,브로드웨이아트홀 2관,공연장,정보 없음,104,서울 종로구 대학로 132 형원빌딩,정보 없음
2023-08-12 22:46:05,jongno,클래식전용콘서트홀,공연장,정보 없음,0,서울 종로구 종로5길 68 코리안리재보험,정보 없음
2023-08-12 22:46:05,jongno,브로드웨이아트홀 1관,공연장,정보 없음,110,서울 종로구 대학로 132 형원빌딩,정보 없음
2023-08-12 22:46:05,jongno,포엄콘서트,패션잡화,정보 없음,0,서울 중구 을지로 276 B1층 03호,02-2200-5531
2023-08-12 22:46:05,jongno,카페드콘서트,카페,4.29,505,서울 중구 세종대로 17 와이즈타워 1층,0507-1339-9519
2023-08-12 22:46:05,jongno,미니콘서트,여성의류,4.29,505,서울 중구 세종대로 17 와이즈타워 1층,0507-1339-9519
2023-08-12 22:46:05,jongno,세종문화회관 대극장,공연장,4.49,정보 없음,서울 종로구 세종대로 175 세종이야기,02-399-1111
2023-08-12 22:46:05,jongno,홍익대학교대학로아트센터 대극장,공연장,4.49,정보 없음,서울 종로구 세종대로 175 세종이야기,02-399-1111
2023-08-12 22:46:05,jongno,동덕여자대학교 공연예술센터,공연장,4.57,정보 없음,서울 종로구 대학로 57,02-742-0300
2023-08-12 22:46:05,jongno,이화여자고등학교100주년기념관,부속건물,정보 없음,124,서울 중구 정동길 26,02-777-4258
2023-08-12 22:46:05,jongno,학전블루 소극장,공연장,4.63,620,서울 종로구 대학로12길 46,02-763-8233
2023-08-12 22:46:05,jongno,문화예술감성단체 여민,"문화,예술단체",4.63,620,서울 종로구 대학로12길 46,02-763-8233
2023-08-12 22:46:05,jongno,리엔터테인먼트,공연기획사,정보 없음,3,서울 종로구 종로17길 50 3층 301호,0507-1303-8439
2023-08-12 22:46:05,jongno,에이비에스갤러리,"미술,공예품",정보 없음,2,서울 종로구 인사동길 14 3층,0507-1314-8933
2023-08-12 22:46:05,jongno,미마지아트센터 물빛극장,공연장,정보 없음,678,서울 종로구 대학로8가길 129 동원빌딩 지하 1층,02-6404-5005
2023-08-12 22:46:05,jongno,릿슨투,"전시,행사대행",정보 없음,0,"서울 종로구 인사동1길 7 에스19호, 에스20호",010-2011-4634
2023-08-12 22:46:05,jongno,제이티앤미디어,공연기획사,정보 없음,13,서울 종로구 이화장길 26 5층,02-779-1595
2023-08-12 22:46:05,jongno,유니시드,"협회,단체",정보 없음,1,서울 종로구 창경궁로 254,0507-1315-0381
2023-08-12 22:46:05,jongno,씨케이아트웍스,공연기획사,정보 없음,0,서울 종로구 대학로 144 지하2층,010-2831-7872
2023-08-12 22:46:05,jongno,미송아트홀,공연장,정보 없음,36,서울 종로구 창경궁로29길 25 명륜빌딩3층 바다소리,0507-1330-5791
2023-08-12 22:46:05,jongno,장충체육관,체육관,4.31,정보 없음,서울 중구 동호로 241,02-2128-2800
2023-08-12 22:46:05,jongno,일미터클래식,엔터테인먼트,4.31,정보 없음,서울 중구 동호로 241,02-2128-2800
2023-08-12 22:46:05,jongno,펀에이드,"문화,예술단체",정보 없음,0,서울 종로구 자하문로10길 30 이룸빌딩 4층,02-504-7568
2023-08-12 22:46:05,jongno,스튜디오 백,"공연,연극시설",정보 없음,25,서울 종로구 사직로8길 42 광화문시대 1201호,0507-1362-3307
2023-08-12 22:46:05,jongno,브로드웨이아트홀 3관,공연장,정보 없음,154,서울 종로구 대학로8길 25,02-742-4224
2023-08-12 22:46:05,jongno,이스트파워코리아,시장,정보 없음,5,서울 종로구 자하문로2길 4 경복빌딩,070-5101-4073
2023-08-12 22:46:05,jongno,골든에이지컴퍼니,공연기획사,정보 없음,0,서울 종로구 혜화로 11 2층,0507-1354-0638
2023-08-12 22:46:05,jongno,공공문화연구소,"전시,행사대행",4.13,23,서울 종로구 경희궁1길 1 투바앤빌딩 3층 사무실,0507-1392-0117
2023-08-12 22:46:05,jongno,제이컨셉,패션,4.13,23,서울 종로구 경희궁1길 1 투바앤빌딩 3층 사무실,0507-1392-0117
2023-08-12 22:46:05,jongno,애드파크,인쇄업,정보 없음,0,서울 중구 퇴계로27길 28 한영빌딩 401호,02-2268-3395
2023-08-12 22:46:05,jongno,배로메이드,연예기획사,4.04,12,서울 중구 장충단로8길 14 탑빌딩 203호,02-2279-6581
2023-08-12 22:46:05,jongno,숭례문학당,평생교육,4.04,12,서울 중구 장충단로8길 14 탑빌딩 203호,02-2279-6581
2023-08-12 22:46:05,jongno,에피쿠로스,행사,정보 없음,1,서울 종로구 사직로 66-1 한라빌딩 2층 505호,0507-1408-7327
2023-08-12 22:46:05,jongno,브릭박스 스튜디오,공연기획사,정보 없음,0,"서울 중구 동호로 288 상지빌딩 B1층, 3층",0507-1476-0272
2023-08-12 22:46:05,jongno,더피트,공연기획사,정보 없음,4,서울 중구 퇴계로36가길 46 2층,010-3346-5451
