create_time,area,name,type,star_rating,review_sum,address,contact
2023-08-12 22:53:11,jongno,시크릿챔버,방탈출카페,4.5,정보 없음,서울 종로구 창경궁로 258-12 2층,02-745-1614
2023-08-12 22:53:11,jongno,비밀의화원 시네마틱 혜화점,방탈출카페,4.5,정보 없음,서울 종로구 창경궁로 258-12 2층,02-745-1614
2023-08-12 22:53:11,jongno,HIDE AND SEEK 쌈지길점,방탈출카페,4.64,593,서울 종로구 대명길 9 지하2층,02-763-3289
2023-08-12 22:53:11,jongno,셜록홈즈 대학로점,방탈출카페,4.9,1026,서울 종로구 대학로10길 5 4층,0507-1302-0198
2023-08-12 22:53:11,jongno,비밀의화원 대학로점,방탈출카페,4.9,1026,서울 종로구 대학로10길 5 4층,0507-1302-0198
2023-08-12 22:53:11,jongno,상상의문 대학로점,방탈출카페,4.44,1165,서울 종로구 대학로 130 지하 1층,0507-1373-8901
2023-08-12 22:53:11,jongno,에필로그,방탈출카페,정보 없음,146,서울 종로구 대학로8가길 48 지층,0507-1388-8402
2023-08-12 22:53:11,jongno,덤앤더머 방탈출카페,방탈출카페,4.89,정보 없음,서울 종로구 동숭길 143 로얄케스트,0507-1414-0955
2023-08-12 22:53:11,jongno,셜록홈즈 종각점,방탈출카페,4.89,정보 없음,서울 종로구 동숭길 143 로얄케스트,0507-1414-0955
2023-08-12 22:53:11,jongno,비트포비아 대학로,방탈출카페,4.41,168,서울 종로구 삼일대로17길 17 4층 셜록홈즈 종각,0507-1358-0522
2023-08-12 22:53:11,jongno,룸즈에이 대학로점,방탈출카페,4.7,409,서울 종로구 대학로10길 15-15 해안빌딩 지하1층,02-747-9003
2023-08-12 22:53:11,jongno,더큐이스케이프 대학로점,방탈출카페,4.7,409,서울 종로구 대학로10길 15-15 해안빌딩 지하1층,02-747-9003
2023-08-12 22:53:11,jongno,비트포비아 명동,방탈출카페,4.13,453,서울 종로구 대학로12길 15 2층,02-742-7007
2023-08-12 22:53:11,jongno,알카트래즈,방탈출카페,4.43,279,서울 중구 명동10길 13 4층,0507-1343-8094
2023-08-12 22:53:11,jongno,룸 이에스씨,방탈출카페,4.69,정보 없음,서울 종로구 동숭길 41 5층,02-765-0250
2023-08-12 22:53:11,jongno,cafe 탈출카페,방탈출카페,4.69,정보 없음,서울 종로구 동숭길 41 5층,02-765-0250
