name,type,star_rating,review_sum,address,contact
더 케이브,"박람회,전시회",정보 없음,40,서울 중구 청계천로 24 케이스퀘어빌딩 지하 1층,010-5404-5352
씨뮤즈,"박람회,전시회",정보 없음,0,서울 종로구 삼일대로32길 22-1 2층,010-9168-0079
제11회 서울도시농업박람회,"박람회,전시회",정보 없음,4,서울 중구 을지로 12 서울광장,0507-1496-7826
마리오폰테의 트웰브,"박람회,전시회",정보 없음,201,서울 종로구 경희궁1길 1 1층 마리오폰테의트웰브,0507-1439-2052
마이아트예술기획연구소,"박람회,전시회",4.61,82,서울 중구 을지로 157 세운대림상가 8층 868호,0507-1360-4237
2022 대한민국 관광기념품 박람회,"박람회,전시회",4.61,82,서울 중구 을지로 157 세운대림상가 8층 868호,0507-1360-4237
딸에게준선물 안셀아담스사진전,"박람회,전시회",4.36,17,서울 종로구 세종대로 175 세종이야기,070-4288-5177
일지인센스,"박람회,전시회",4.36,17,서울 종로구 세종대로 175 세종이야기,070-4288-5177
대안공간 틈새,"박람회,전시회",정보 없음,0,서울 종로구 대학로 122 흥사단 본부,02-743-5483
한국 만화의 색,"박람회,전시회",정보 없음,0,서울 종로구 인사동길 41-1 인사가나아트센터,정보 없음
미술문화,"박람회,전시회",정보 없음,6,서울 종로구 인사동5길 25,02-735-3531
인사아트페어 운영위원회,"박람회,전시회",정보 없음,2,서울 종로구 인사동길 5,02-6104-5547
앤드유,"박람회,전시회",4.54,23,서울 중구 무교로 13 휘닉스빌딩,070-7733-7694
2022 대한민국 교육기부 박람회,"박람회,전시회",4.54,23,서울 중구 무교로 13 휘닉스빌딩,070-7733-7694
카프,"박람회,전시회",정보 없음,8,서울 종로구 창경궁로 185 창경궁,02-765-3364
후지시로 세이지 북촌스페이스,"박람회,전시회",4.5,175,서울 종로구 계동길 92 1층,02-774-4980
커렉스코리아,"박람회,전시회",4.5,175,서울 종로구 계동길 92 1층,02-774-4980
비볼드커뮤니케이션즈,"박람회,전시회",정보 없음,6,서울 종로구 창덕궁길 29-44,02-2276-0811
도서출판포토스페이스,"박람회,전시회",정보 없음,0,서울 종로구 수표로 89-11,02-2264-2381
아시아태평양 관광투자 컨퍼런스,"박람회,전시회",정보 없음,3,서울 중구 을지로 30,02-729-9635
전시메일,"박람회,전시회",정보 없음,1,서울 종로구 율곡로3길 72,070-8879-4373
디자인 프로모션 에이전시,"박람회,전시회",정보 없음,0,서울 종로구 창덕궁3길 7-1,0507-1488-0256
태영관광,"박람회,전시회",정보 없음,1,서울 종로구 새문안로5가길 28 광화문 플래티넘,02-722-3060
Beyond the Reality,"박람회,전시회",정보 없음,1,서울 종로구 경희궁길 42,010-2255-0113
아트벤처스,"박람회,전시회",정보 없음,10,서울 중구 퇴계로20길 13 4층,02-391-0013
파라다이스 투어,"박람회,전시회",정보 없음,3,서울 중구 퇴계로 299 파라다이스빌딩 4층,0507-1433-2000
실크로드와 둔황,"박람회,전시회",정보 없음,1,서울 종로구 경희궁1가길 5,1666-4252
아시아 호텔 아트 페어 사무국,"박람회,전시회",4.45,12,서울 중구 소공로 46 쌍용남산플래티넘 B-103호,02-741-6320
오케이베페,"박람회,전시회",4.45,12,서울 중구 소공로 46 쌍용남산플래티넘 B-103호,02-741-6320
Spoon Art Fair,"박람회,전시회",정보 없음,2,서울 중구 소공로 46,070-7863-7318
국제암엑스포사무국,"박람회,전시회",정보 없음,2,서울 중구 퇴계로 190 매경미디어센터,02-2000-5805
코트파,"박람회,전시회",정보 없음,0,"서울 중구 소공로4길 3 (회현동2가, 코트파빌딩)",0507-1423-6161
아라아트센터,"갤러리,화랑",4.3,정보 없음,서울 종로구 인사동9길 26 아라아트센터,02-733-1981
일민미술관,미술관,4.3,정보 없음,서울 종로구 인사동9길 26 아라아트센터,02-733-1981
아트스페이스 호화,전시관,정보 없음,216,서울 중구 세종대로 124 1층,0507-1387-7300
컬러풀뮤지엄,전시관,4.34,정보 없음,서울 종로구 인사동길 49 안녕인사동 6층,02-6954-2872
갤러리 이즈,"갤러리,화랑",4.34,정보 없음,서울 종로구 인사동길 49 안녕인사동 6층,02-6954-2872
아라리오뮤지엄 인 스페이스,미술관,4.97,921,서울 종로구 인사동길 52-1,02-736-6669
갤러리광화,미술관,4.45,1076,서울 종로구 율곡로 83,02-736-5700
B the B,복합문화공간,정보 없음,47,서울 중구 을지로 281 DDP마켓,0507-1364-3765
아트디자인재재,"갤러리,화랑",정보 없음,79,서울 종로구 인사동길 55-2 1층 재재,0507-1376-6578
빈칸 을지로,전시관,정보 없음,61,서울 중구 수표로 48-12 202호,010-7280-4368
인영갤러리,"갤러리,화랑",정보 없음,133,"서울 종로구 인사동10길 23-4 인영아트센터 3,4층",02-722-8877
아트가가 갤러리,"갤러리,화랑",정보 없음,22,서울 종로구 인사동4길 1 1~2F,010-2094-1350
써드베란다,"갤러리,화랑",정보 없음,2,서울 종로구 인사동길 9 3층,0507-1374-1986
세화미술관,미술관,4.68,489,서울 종로구 새문안로 68 3층,02-2002-7787
라온플라워,"꽃집,꽃배달",4.68,489,서울 종로구 새문안로 68 3층,02-2002-7787
그림찾아가게,"갤러리,화랑",4.18,290,서울 종로구 인사동5길 21 1층,02-738-2223
차 갤러리,"갤러리,화랑",정보 없음,4,서울 종로구 인사동5길 29,010-2517-7705
예당,"갤러리,화랑",정보 없음,23,서울 종로구 인사동16길 3-10,02-732-5364
