name,type,star_rating,review_sum,address,contact
대학로티오엠,공연장,정보 없음,정보 없음,서울 종로구 대학로8가길 85,1544-8303
대학로뮤지컬센터,공연장,정보 없음,299,서울 종로구 동숭길 100,02-2135-1507
뮤지컬컴퍼니에이,영화제작업,정보 없음,0,서울 종로구 인사동길 29,02-749-8942
남뮤지컬아카데미,연기학원,정보 없음,194,서울 종로구 대학로8가길 80 리트모빌딩 4층,02-3472-9318
뮤지컬점프,공연장,3.81,97,서울 중구 마른내로 47,02-722-3995
서울시뮤지컬단,연극,3.81,97,서울 중구 마른내로 47,02-722-3995
케이에스앤엔터테인먼트,공연장,정보 없음,16,서울 종로구 삼일대로 386 시네코아,02-2637-2777
뮤지컬넌센스,극단,정보 없음,41,서울 종로구 대학로 144 중원빌딩 지하2층 203호,02-741-1234
뮤지컬노래방,노래방,정보 없음,23,서울 중구 명동8길 11-6,02-3789-8868
동방뮤지컬컴퍼니,공연장,정보 없음,3,서울 종로구 대학로11길 41-8,02-712-3865
과수원뮤지컬컴퍼니,극단,정보 없음,9,서울 종로구 대학로10길 15-15,정보 없음
아르코한예종 뮤지컬창작아카데미,"연구,연구소",정보 없음,0,서울 종로구 창경궁로 215 한국예술종합학교 대학로캠퍼스 205호,0507-1402-9792
홍익대 공연예술 뮤지컬,"공연,연극시설",정보 없음,0,서울 종로구 대학로 57 B220-2,010-3841-5336
IMT뮤지컬스튜디오,극단,정보 없음,10,서울 중구 다산로 207 태정빌딩 4층,02-2235-9727
대영뮤지컬 컴퍼니,극단,정보 없음,0,서울 종로구 창경궁로 254 동원빌딩,010-9638-1938
사단법인 한국뮤지컬협회,"문화,예술",정보 없음,5,서울 종로구 동숭길 101,02-765-5598
뮤지컬셰프 가온홀,"공연,연극시설",정보 없음,0,서울 중구 마른내로 47 명보극장,정보 없음
더뮤지컬센터,기업,정보 없음,0,서울 종로구 동숭길 100,정보 없음
바라뮤지컬연구소,극단,정보 없음,3,서울 종로구 북촌로 31-4 오픈아이즈센터 2층,정보 없음
엔에이 뮤지컬컴퍼니,"영상,오디오,방송",정보 없음,3,서울 종로구 이화장길 86-11 201호,02-2236-9296
드림아트센터,공연장,4.38,정보 없음,서울 종로구 동숭길 123 드림아트센터,02-3481-8843
대학로 JTN 아트홀,"공연,연극시설",4.38,정보 없음,서울 종로구 동숭길 123 드림아트센터,02-3481-8843
예스24스테이지,"공연,연극시설",4.48,정보 없음,서울 종로구 대학로12길 21,02-742-9637
시온아트홀,공연장,4.48,정보 없음,서울 종로구 대학로12길 21,02-742-9637
파랑씨어터,"공연,연극시설",4.29,566,서울 종로구 대학로8가길 36,070-4870-1931
대학로자유극장,"공연,연극시설",4.29,566,서울 종로구 대학로8가길 36,070-4870-1931
하마씨어터,공연장,4.89,660,서울 종로구 대학로10길 15-11 4층,02-766-0830
플러스씨어터,공연장,4.89,660,서울 종로구 대학로10길 15-11 4층,02-766-0830
JTN 아트홀 3관,공연장,정보 없음,440,서울 종로구 이화장길 26 JTN 아트홀,0507-1302-1596
스타스테이지,"공연,연극시설",정보 없음,58,서울 종로구 대학로12길 15 . 지하2층(동숭동),0507-1440-5356
룸씨어터,공연장,정보 없음,155,서울 종로구 대학로10길 12 지하1층,0507-1377-2335
에이치씨어터,"공연,연극시설",4.71,144,서울 종로구 이화장길 54,1566-0507
학전블루 소극장,공연장,4.71,144,서울 종로구 이화장길 54,1566-0507
씨어터쿰,"공연,연극시설",4.63,620,서울 종로구 대학로12길 46,02-763-8233
미마지아트센터 물빛극장,공연장,정보 없음,678,서울 종로구 대학로8가길 129 동원빌딩 지하 1층,02-6404-5005
업스테이지,공연장,정보 없음,231,서울 종로구 동숭길 41,070-4792-8342
세우아트센터 2관,"공연,연극시설",정보 없음,237,서울 종로구 대학로12길 49 4층,070-7542-5099
이화여자고등학교100주년기념관,부속건물,정보 없음,124,서울 중구 정동길 26,02-777-4258
CJ아지트 대학로점,공연장,정보 없음,329,"서울 종로구 대학로12길 69 태원빌딩 지하 1층, 2층",02-6740-1419
넘버나인,제조업,정보 없음,0,서울 종로구 종로 266 동대문종합상가 B동 5043-2호,0507-1400-0128
서일문화예술고등학교,고등학교,정보 없음,291,서울 종로구 지봉로17길 49,0507-1402-5863
홍컴퍼니,공연기획사,4.55,80,서울 종로구 대학로8가길 56 401호,02-3444-0205
베리컴퍼니,공연장,4.55,80,서울 종로구 대학로8가길 56 401호,02-3444-0205
씨에이치수박,공연기획사,4.35,68,서울 종로구 창경궁로27길 30 3층 씨에이치수박,02-928-3362
예장연극영화학원,연기학원,4.35,68,서울 종로구 창경궁로27길 30 3층 씨에이치수박,02-928-3362
고스트씨어터,공연장,정보 없음,192,서울 종로구 동숭길 94 지하 1층,010-3446-4407
아떼오드 연습실,장소대여,정보 없음,0,서울 종로구 대학로8가길 80 6층 아떼오드 연습실,010-8120-8874
단하나연기클래스,연기학원,정보 없음,8,서울 종로구 성균관로3길 11,0507-1342-3675
담소,"도서,음반,문구",정보 없음,152,서울 종로구 대학로12길 73 2층 담소,02-556-4305
성균관컨벤션웨딩홀,예식장,정보 없음,201,서울 종로구 성균관로 31,02-744-0677
