name,type,star_rating,review_sum,address,contact
피크14,공방,정보 없음,76,서울 종로구 돈화문로5가길 31 4층 401호,0507-1489-1068
한솔요리학원 종로점,요리학원,4.26,971,"서울 종로구 삼일대로 395 종로빌딩 6,7,8,9,10층",0507-1449-3300
헤이온데이,공방,4.26,971,"서울 종로구 삼일대로 395 종로빌딩 6,7,8,9,10층",0507-1449-3300
클래스온,공방,정보 없음,1,서울 성북구 보문사길 35 101호,070-4466-5551
닷클래스,문화센터,정보 없음,0,서울 중구 다산로33길 85,정보 없음
반지그리기,공방,정보 없음,384,서울 종로구 인사동길 58 3층 반지그리기,0507-1436-8013
프루스트,공방,4.97,정보 없음,서울 종로구 창경궁로26길 38-3,0507-1333-3552
반지야놀자 종로본점,공방,4.97,정보 없음,서울 종로구 창경궁로26길 38-3,0507-1333-3552
닛튼,공방,5,473,서울 종로구 수표로 105 7층,0507-1435-1583
리을미을 터프팅 공방,공방,정보 없음,10,서울 종로구 종로16길 36 301호 리을미을,010-5150-9184
피크14,공방,정보 없음,76,서울 종로구 돈화문로5가길 31 4층 401호,0507-1489-1068
뷰티인아델라,공방,정보 없음,331,서울 종로구 돈화문로5가길 31 4층 402호,0507-1360-3243
메이나인쓰,공방,4.75,420,서울 종로구 돈화문로11나길 18 1층,010-3460-4564
노이모이스튜디오,공방,4.75,420,서울 종로구 돈화문로11나길 18 1층,010-3460-4564
무크 터프팅 스튜디오,공방,정보 없음,39,서울 종로구 돈화문로 72 지하1층,0507-1385-6991
더 샤드 포슬린,도자기,4.77,171,서울 종로구 돈화문로 65,0507-1360-7008
가죽공방 아피체 스튜디오,공방,4.77,171,서울 종로구 돈화문로 65,0507-1360-7008
HANDUS 한나래그릇작업실,공방,정보 없음,61,서울 종로구 북촌로1길 30-4,02-722-5064
메이드인러브,공방,정보 없음,126,"서울 종로구 성균관로 8-1 2f, first door",0507-1362-3207
익선공방,공방,정보 없음,1,서울 종로구 삼일대로26길 25,0507-1317-1311
드로잉제인,공방,정보 없음,5,"서울 중구 남대문로10길 28 8층,드로잉제인",0507-1321-6576
에모뜨,공방,정보 없음,0,서울 중구 을지로18길 18 2층 에모뜨,0507-1464-0371
아로마포레스트 동대문점,향수공방,4.98,303,서울 중구 장충단로 247 9층 아로마포레스트 동대문점,0507-1473-5159
닷,공방,4.98,303,서울 중구 장충단로 247 9층 아로마포레스트 동대문점,0507-1473-5159
배스랩,공방,정보 없음,81,서울 중구 을지로18길 10 2층 203호,0507-1349-6985
아뜰리에나훔,공방,정보 없음,8,서울 종로구 창신5길 24,0507-1301-9437
가죽공방 레더레스트,공방,정보 없음,67,서울 종로구 성균관로 19 302호 가죽공방 레더레스트,0507-1402-0138
아로마포레스트 명동,향수공방,4.98,정보 없음,서울 중구 마른내로4길 10 정산빌딩 5층 501호,0507-1479-1435
플롬,공방,4.98,정보 없음,서울 중구 마른내로4길 10 정산빌딩 5층 501호,0507-1479-1435
SYLK,공방,정보 없음,25,서울 종로구 창경궁로 253-7 어젤리아명륜2 2층 33호,0507-1388-2544
니어 이든,공방,정보 없음,8,서울 중구 퇴계로 370 니어 이든,0507-1377-1827
손놀림공방,가죽제품제작,정보 없음,8,서울 종로구 낙산성곽서1길 19-1,0507-1318-4704
동림매듭공방,박물관,정보 없음,43,서울 종로구 북촌로12길 10,02-3673-2778
SWU스튜디오,공방,정보 없음,1,서울 종로구 청계천로 159 세운상가 7층,정보 없음
08스튜디오,공방,4.55,86,서울 종로구 혜화로 13 1층 08스튜디오,0507-1352-5316
오우공방,공방,4.55,86,서울 종로구 혜화로 13 1층 08스튜디오,0507-1352-5316
을지화실,공방,4.53,34,서울 중구 을지로 138-1,0507-1435-3396
로파파레더,공방,정보 없음,23,서울 종로구 지봉로17길 12-1 1층 1호 가죽공방,0507-1392-9969
카넬라,공방,정보 없음,170,서울 종로구 계동4길 10-6,0507-1425-0127
식물이 좋아서,공방,정보 없음,12,서울 종로구 계동길 98 2층,0507-1331-1106
디셈브레 안국,공방,정보 없음,26,서울 종로구 북촌로5가길 8-7,0507-1445-7720
디앤나잇,공방,정보 없음,20,서울 종로구 창경궁로29길 36 2층,0507-1391-0172
요호,공방,4.96,202,서울 중구 퇴계로 159-6 3층 요호,0507-1484-0906
랩포터리,공방,4.96,202,서울 중구 퇴계로 159-6 3층 요호,0507-1484-0906
미묘한 균형,공방,5,87,서울 중구 퇴계로56길 26 102호,0507-1385-8605
hhhh.note,공방,정보 없음,12,서울 종로구 필운대로 41 2층,0507-1398-6215
오브지 세라믹스튜디오,공방,정보 없음,0,서울 중구 퇴계로41길 45 3층 301,010-2211-1579
삼월의 작업실,공방,정보 없음,13,서울 종로구 자하문로30길 9 101호,02-732-8111
베르씨빌라쥬,공방,4.45,88,서울 종로구 자하문로5길 25,010-2063-3126
마스터.케이가죽공방,공방,4.45,88,서울 종로구 자하문로5길 25,010-2063-3126
휘향찬란,공예용품,정보 없음,95,서울 종로구 인사동길 44 2층,0507-1376-9463
애프터아워즈,공방,정보 없음,12,서울 중구 창경궁로5길 19 201호,0507-1362-8623
