create_time,area,name,type,star_rating,review_sum,address,contact
2023-08-12 22:26:46,jongno,피크14,공방,정보 없음,76,서울 종로구 돈화문로5가길 31 4층 401호,0507-1489-1068
2023-08-12 22:26:46,jongno,한솔요리학원 종로점,요리학원,4.26,971,"서울 종로구 삼일대로 395 종로빌딩 6,7,8,9,10층",0507-1449-3300
2023-08-12 22:26:46,jongno,헤이온데이,공방,4.26,971,"서울 종로구 삼일대로 395 종로빌딩 6,7,8,9,10층",0507-1449-3300
2023-08-12 22:26:46,jongno,클래스온,공방,정보 없음,1,서울 성북구 보문사길 35 101호,070-4466-5551
2023-08-12 22:26:46,jongno,닷클래스,문화센터,정보 없음,0,서울 중구 다산로33길 85,정보 없음
2023-08-12 22:26:46,jongno,반지그리기,공방,정보 없음,384,서울 종로구 인사동길 58 3층 반지그리기,0507-1436-8013
2023-08-12 22:26:46,jongno,프루스트,공방,4.97,정보 없음,서울 종로구 창경궁로26길 38-3,0507-1333-3552
2023-08-12 22:26:46,jongno,반지야놀자 종로본점,공방,4.97,정보 없음,서울 종로구 창경궁로26길 38-3,0507-1333-3552
2023-08-12 22:26:46,jongno,닛튼,공방,5,473,서울 종로구 수표로 105 7층,0507-1435-1583
2023-08-12 22:26:46,jongno,리을미을 터프팅 공방,공방,정보 없음,10,서울 종로구 종로16길 36 301호 리을미을,010-5150-9184
2023-08-12 22:26:46,jongno,피크14,공방,정보 없음,76,서울 종로구 돈화문로5가길 31 4층 401호,0507-1489-1068
2023-08-12 22:26:46,jongno,뷰티인아델라,공방,정보 없음,331,서울 종로구 돈화문로5가길 31 4층 402호,0507-1360-3243
2023-08-12 22:26:46,jongno,메이나인쓰,공방,4.75,420,서울 종로구 돈화문로11나길 18 1층,010-3460-4564
2023-08-12 22:26:46,jongno,노이모이스튜디오,공방,4.75,420,서울 종로구 돈화문로11나길 18 1층,010-3460-4564
2023-08-12 22:26:46,jongno,무크 터프팅 스튜디오,공방,정보 없음,39,서울 종로구 돈화문로 72 지하1층,0507-1385-6991
2023-08-12 22:26:46,jongno,더 샤드 포슬린,도자기,4.77,171,서울 종로구 돈화문로 65,0507-1360-7008
2023-08-12 22:26:46,jongno,가죽공방 아피체 스튜디오,공방,4.77,171,서울 종로구 돈화문로 65,0507-1360-7008
2023-08-12 22:26:46,jongno,HANDUS 한나래그릇작업실,공방,정보 없음,61,서울 종로구 북촌로1길 30-4,02-722-5064
2023-08-12 22:26:46,jongno,메이드인러브,공방,정보 없음,126,"서울 종로구 성균관로 8-1 2f, first door",0507-1362-3207
2023-08-12 22:26:46,jongno,익선공방,공방,정보 없음,1,서울 종로구 삼일대로26길 25,0507-1317-1311
2023-08-12 22:26:46,jongno,드로잉제인,공방,정보 없음,5,"서울 중구 남대문로10길 28 8층,드로잉제인",0507-1321-6576
2023-08-12 22:26:46,jongno,에모뜨,공방,정보 없음,0,서울 중구 을지로18길 18 2층 에모뜨,0507-1464-0371
2023-08-12 22:26:46,jongno,아로마포레스트 동대문점,향수공방,4.98,303,서울 중구 장충단로 247 9층 아로마포레스트 동대문점,0507-1473-5159
2023-08-12 22:26:46,jongno,닷,공방,4.98,303,서울 중구 장충단로 247 9층 아로마포레스트 동대문점,0507-1473-5159
