name,type,star_rating,review_sum,address,contact
낙산공원,근린공원,4.26,정보 없음,서울 종로구 낙산길 41,02-743-7985
탑골공원,근린공원,4.26,정보 없음,서울 종로구 낙산길 41,02-743-7985
마로니에공원,근린공원,4.31,정보 없음,서울 종로구 대학로 104,02-2148-4158
동대문역사문화공원,"도시,테마공원",4.31,정보 없음,서울 종로구 대학로 104,02-2148-4158
종묘광장공원,광장,4.27,685,서울 중구 신당동 853,02-2266-7188
훈련원공원,"도시,테마공원",정보 없음,95,서울 중구 을지로 227 훈련원공원,02-2268-5810
흥인지문공원,근린공원,정보 없음,620,서울 종로구 종로6가 70,정보 없음
정동공원,근린공원,정보 없음,98,서울 중구 정동길 21-18 정동공원,정보 없음
청진공원,근린공원,정보 없음,58,서울 종로구 청진동 146-3,정보 없음
숭인근린공원,근린공원,정보 없음,74,서울 종로구 숭인동 58-149,02-2148-4152
동묘공원,근린공원,정보 없음,90,서울 종로구 난계로27길 84,정보 없음
세종로공원,"도시,테마공원",정보 없음,67,서울 종로구 세종대로 189,02-722-9598
현대원서공원,"도시,테마공원",정보 없음,59,서울 종로구 창덕궁길 19,02-731-0120
청계천한빛광장,근린공원,4.25,105,서울 중구 삼각동 118,정보 없음
산마루 놀이터,근린공원,4.25,105,서울 중구 삼각동 118,070-8181-0502
다시세운광장,"도시,테마공원",4.3,57,서울 종로구 장사동 2-1,정보 없음
장충단공원,"도시,테마공원",4.3,57,서울 종로구 장사동 2-1,정보 없음
수송공원,근린공원,4.7,540,서울 중구 동호로 257-10,정보 없음
탑골공원삼일문,부속시설,정보 없음,23,서울 종로구 종로2가,정보 없음
청계천베를린광장,"도시,테마공원",정보 없음,63,서울 중구 청계천로 86 한화빌딩,정보 없음
광화문광장해치마당,부속시설,정보 없음,60,서울 종로구 세종대로 172,정보 없음
흥인지문공원진입광장,부속시설,정보 없음,48,서울 종로구 종로6가,정보 없음
명동문화공원,"도시,테마공원",정보 없음,25,서울 중구 명동길 89,정보 없음
보신각공원,근린공원,정보 없음,11,서울 종로구 종로 54-1,정보 없음
무궁화동산,근린공원,정보 없음,103,서울 종로구 궁정동 55-5,02-2148-4147
탑골공원팔각정,부속시설,3.94,48,서울 종로구 종로2가,정보 없음
서소문역사공원,근린공원,3.94,48,서울 종로구 종로2가,02-313-7986
낙산공원서울성곽,부속시설,정보 없음,160,서울 성북구 삼선동1가 산1-20,정보 없음
경찰기념공원,테마공원,정보 없음,10,서울 중구 의주로1가 32-6,정보 없음
공원,근린공원,정보 없음,98,서울 종로구 효자동 139,정보 없음
동대문역사문화공원서울성곽,부속시설,정보 없음,21,서울 중구 을지로7가 143,정보 없음
흥인지문공원잔디마당,부속시설,정보 없음,11,서울 종로구 종로6가,정보 없음
동대문역사문화공원동대문역사관1398,부속시설,정보 없음,22,서울 중구 을지로 281,정보 없음
낙산공원배드민턴장,부속시설,정보 없음,7,서울 종로구 동숭동,정보 없음
새싹마을마당,근린공원,정보 없음,1,서울 중구 동호로12길 97,정보 없음
삼선공원,근린공원,정보 없음,12,서울 성북구 삼선교로10바길 34,정보 없음
동대문역사문화공원동대문운동장기념관,부속시설,정보 없음,40,서울 중구 을지로 281,정보 없음
정동공원음수대,부속시설,정보 없음,1,서울 중구 정동,정보 없음
흥인지문공원전통정자쉼터,부속시설,정보 없음,1,서울 종로구 종로6가,정보 없음
탑골공원관리사무소,부속시설,정보 없음,1,서울 종로구 종로2가,정보 없음
경희궁공원,"도시,테마공원",4.23,304,서울 종로구 새문안로 55,02-731-0461
남산예장공원,근린공원,4.23,304,서울 종로구 새문안로 55,02-731-0461
통의동마을마당,근린공원,정보 없음,6,서울 종로구 통의동 7-3,정보 없음
서울경찰청배드민턴장,부속시설,정보 없음,1,서울 종로구 사직로8길 31,정보 없음
지봉골공원,근린공원,정보 없음,6,서울 종로구 지봉로13길 14,정보 없음
동대문역사문화공원동대문유구전시장,부속시설,정보 없음,3,서울 중구 신당동 853,정보 없음
강북삼성병원R스퀘어,부속시설,4.58,12,서울 종로구 새문안로 29,정보 없음
신당동마을마당,근린공원,4.58,12,서울 종로구 새문안로 29,정보 없음
주시경마당,근린공원,정보 없음,8,서울 종로구 당주동 108,정보 없음
동대문역사문화공원동대문운동장기념관안내데스크,부속시설,정보 없음,5,서울 중구 신당동 853,정보 없음
