create_time,area,name,type,star_rating,review_sum,address,contact
2023-08-12 22:41:46,jongno,세종문화회관,"공연,연극시설",4.42,정보 없음,서울 종로구 세종대로 175,02-399-1000
2023-08-12 22:41:46,jongno,충무아트센터,공연장,4.42,정보 없음,서울 종로구 세종대로 175,02-399-1000
2023-08-12 22:41:46,jongno,드림아트센터,공연장,4.4,정보 없음,서울 중구 퇴계로 387,02-2230-6600
2023-08-12 22:41:46,jongno,국립정동극장,공연장,4.38,정보 없음,서울 종로구 동숭길 123 드림아트센터,02-3481-8843
2023-08-12 22:41:46,jongno,세종문화회관 대극장,공연장,4.38,정보 없음,서울 중구 정동길 43,02-751-1500
2023-08-12 22:41:46,jongno,대학로 JTN 아트홀,"공연,연극시설",4.49,정보 없음,서울 종로구 세종대로 175 세종이야기,02-399-1111
2023-08-12 22:41:46,jongno,홍익대학교 대학로 아트센터,공연장,4.29,정보 없음,서울 종로구 대학로 57,02-742-0300
2023-08-12 22:41:46,jongno,예스24스테이지,"공연,연극시설",4.29,정보 없음,서울 종로구 대학로 57,02-742-0300
2023-08-12 22:41:46,jongno,두산아트센터,공연장,4.48,정보 없음,서울 종로구 대학로12길 21,02-742-9637
2023-08-12 22:41:46,jongno,세종문화회관 M씨어터,공연장,4.28,832,서울 종로구 종로33길 15,02-708-5001
2023-08-12 22:41:46,jongno,달밤엔씨어터,"공연,연극시설",정보 없음,정보 없음,서울 종로구 대학로14길 18-2 지하1층,02-985-5654
2023-08-12 22:41:46,jongno,홍익대학교대학로아트센터 대극장,공연장,4.57,정보 없음,서울 종로구 대학로 57,02-742-0300
2023-08-12 22:41:46,jongno,대학로티오엠,공연장,4.57,정보 없음,서울 종로구 대학로 57,02-742-0300
2023-08-12 22:41:46,jongno,국립정동극장 세실,공연장,4.71,957,서울 중구 세종대로19길 16,02-751-1500
2023-08-12 22:41:46,jongno,유니플렉스,공연장,4.71,957,서울 중구 세종대로19길 16,02-751-1500
2023-08-12 22:41:46,jongno,CKL스테이지,공연장,4.18,정보 없음,서울 종로구 대학로12길 64,02-766-2115
2023-08-12 22:41:46,jongno,아스가르드 씨어터,공연장,정보 없음,186,서울 종로구 동숭길 140 지하 1층,0507-1318-6014
2023-08-12 22:41:46,jongno,링크아트센터,"공연,연극시설",정보 없음,654,서울 종로구 대학로14길 29 링크아트센터,02-3674-7897
2023-08-12 22:41:46,jongno,세종문화회관 S씨어터,"공연,연극시설",4.57,1016,서울 종로구 세종대로 175,정보 없음
2023-08-12 22:41:46,jongno,초록씨어터,"공연,연극시설",4.57,1016,서울 종로구 세종대로 175,0507-1356-1932
2023-08-12 22:41:46,jongno,아트포레스트,공연장,4.85,743,서울 종로구 대학로 128 21세기빌딩 5층,0507-1356-1932
2023-08-12 22:41:46,jongno,라온아트홀 / 연극 한뼘사이,공연장,4.5,정보 없음,서울 종로구 대학로12길 22,070-8952-2151
2023-08-12 22:41:46,jongno,서연아트홀,공연장,4.19,정보 없음,서울 종로구 창경궁로 258-9,070-5180-5956
2023-08-12 22:41:46,jongno,시온아트홀,공연장,4.19,정보 없음,서울 종로구 창경궁로 258-9,070-5180-5956
2023-08-12 22:41:46,jongno,아루또 소극장,공연장,4.48,635,서울 종로구 대학로8가길 48 연경빌딩 4층,02-6012-2511
2023-08-12 22:41:46,jongno,서울코미디클럽,공연장,4.48,635,서울 종로구 대학로8가길 48 연경빌딩 4층,02-6012-2511
2023-08-12 22:41:46,jongno,충무아트센터 대극장,공연장,4.51,정보 없음,서울 중구 퇴계로 387 충무아트홀,02-2230-6600
2023-08-12 22:41:46,jongno,서경대학교 공연예술센터,공연장,4.51,정보 없음,서울 중구 퇴계로 387 충무아트홀,02-2230-6600
2023-08-12 22:41:46,jongno,JTN 아트홀 4관,공연장,4.57,정보 없음,서울 종로구 동숭길 148,02-779-1595
2023-08-12 22:41:46,jongno,정극장 행오버,"공연,연극시설",4.73,1470,서울 종로구 대학로12길 69 3F,0507-1352-6485
2023-08-12 22:41:46,jongno,바탕골소극장,"공연,연극시설",4.73,1470,서울 종로구 대학로12길 69 3F,0507-1352-6485
2023-08-12 22:41:46,jongno,틴틴홀,공연장,4.39,정보 없음,서울 종로구 대학로10길 5 5층,02-764-8760
2023-08-12 22:41:46,jongno,JTN 아트홀 2관,공연장,4.36,정보 없음,서울 종로구 대학로10길 24 스타리움빌딩,02-764-8760
2023-08-12 22:41:46,jongno,예그린씨어터,공연장,정보 없음,정보 없음,서울 종로구 동숭길 130-5,02-6673-0100
2023-08-12 22:41:46,jongno,후암씨어터,공연장,정보 없음,139,서울 종로구 대학로11길 23 7층,정보 없음
2023-08-12 22:41:46,jongno,컬쳐씨어터,"공연,연극시설",4.86,1463,"서울 종로구 대학로8가길 80 매표소 1층, 공연장 5층",0507-1486-0213
2023-08-12 22:41:46,jongno,JTN 아트홀 1관,공연장,4.86,1463,"서울 종로구 대학로8가길 80 매표소 1층, 공연장 5층",0507-1486-0213
2023-08-12 22:41:46,jongno,해피시어터/연극라면,공연장,4.06,691,서울 종로구 이화장길 26,02-779-1595
2023-08-12 22:41:46,jongno,파랑씨어터,"공연,연극시설",4.88,정보 없음,서울 종로구 대학로10길 5 지하1층,0507-1329-7611
2023-08-12 22:41:46,jongno,국립극단 명동예술극장,공연장,4.29,566,서울 종로구 대학로8가길 36,070-4870-1931
2023-08-12 22:41:46,jongno,한성아트홀 제2관,공연장,4.17,정보 없음,서울 중구 명동길 35,1644-2003
2023-08-12 22:41:46,jongno,아티스탄홀,공연장,정보 없음,681,서울 종로구 대학로 132 형원빌딩,02-1661-6981
2023-08-12 22:41:46,jongno,스튜디오블루,"공연,연극시설",정보 없음,176,서울 종로구 대학로8가길 80 리트모빌딩 지하,0507-1328-9207
2023-08-12 22:41:46,jongno,대학로자유극장,"공연,연극시설",정보 없음,957,서울 종로구 대학로12길 31,0507-1370-0661
2023-08-12 22:41:46,jongno,하마씨어터,공연장,4.89,660,서울 종로구 대학로10길 15-11 4층,02-766-0830
2023-08-12 22:41:46,jongno,플러스씨어터,공연장,4.89,660,서울 종로구 대학로10길 15-11 4층,02-766-0830
2023-08-12 22:41:46,jongno,동덕여자대학교 공연예술센터,공연장,정보 없음,436,서울 종로구 동숭길 126 동덕여대 공연예술 연구소,02-940-4578
2023-08-12 22:41:46,jongno,공간아울,공연장,정보 없음,45,서울 종로구 대학로 120,정보 없음
2023-08-12 22:41:46,jongno,스카이씨어터,공연장,정보 없음,532,서울 종로구 대학로8가길 52,070-4106-8889
2023-08-12 22:41:46,jongno,JTN 아트홀 3관,공연장,정보 없음,440,서울 종로구 이화장길 26 JTN 아트홀,0507-1302-1596
