create_time,area,name,type,star_rating,review_sum,address,contact
2023-08-12 22:18:55,jongno,알라모다 종로점,남성정장,정보 없음,정보 없음,"서울 종로구 종로 121-1 2, 3층",02-766-4285
2023-08-12 22:18:55,jongno,연인채,한복,4.56,322,서울 종로구 종로 183 효성주얼리시티 지하1층 326호,02-2274-7844
2023-08-12 22:18:55,jongno,유니클로 광화문 D-TOWER점,캐주얼웨어,4.56,322,서울 종로구 종로 183 효성주얼리시티 지하1층 326호,02-2274-7844
2023-08-12 22:18:55,jongno,ABC마트 GS 동대문두타몰점,신발,4.26,정보 없음,서울 종로구 종로3길 17 D타워 광화문 1~2층,02-2251-8202
2023-08-12 22:18:55,jongno,은아수,패션잡화,4.46,630,서울 중구 장충단로 275 두타몰 지하1층,02-3398-4230
2023-08-12 22:18:55,jongno,모놀로그 인사점,보세의류,4.38,정보 없음,서울 종로구 인사동 165-6,정보 없음
2023-08-12 22:18:55,jongno,운선제한복 종로점,한복,4.38,정보 없음,서울 종로구 인사동 165-6,02-742-2097
2023-08-12 22:18:55,jongno,에이스아웃도어,"등산,아웃도어",4.47,617,서울 종로구 종로 224-1 2층,02-2247-8848
2023-08-12 22:18:55,jongno,버윅 서울파이낸스센터점,수제화,4.47,617,서울 종로구 종로 224-1 2층,02-2247-8848
2023-08-12 22:18:55,jongno,실크루트,한복,4.37,53,서울 중구 세종대로 136 파이낸스빌딩 B1 102호,02-318-0511
2023-08-12 22:18:55,jongno,루아앤로니,패션잡화,4.41,정보 없음,서울 종로구 종로 183 효성주얼리시티 2층 91호,02-2273-9285
2023-08-12 22:18:55,jongno,종로맞춤정장 에반테일러,남성정장,4.17,38,"서울 종로구 종로 266 동대문종합시장 B동 5087,5088,5089호",0507-1373-1242
2023-08-12 22:18:55,jongno,동대문빅사이즈 아이몽 밀리오레,여성의류,4.95,722,서울 종로구 종로 183 효성 주얼리타운 지하1층 J350 에반테일러,02-742-3701
2023-08-12 22:18:55,jongno,Neared,구제의류,4.38,88,서울 중구 장충단로 263 밀리오레 1층 44호,02-3393-2200
2023-08-12 22:18:55,jongno,아르마리오 종로점,남성정장,4.42,93,서울 종로구 돈화문로11다길 26 1층 Neared,0507-1343-6645
2023-08-12 22:18:55,jongno,아티플로 맞춤정장예복 종로본점,남성정장,4.92,674,서울 종로구 종로 109 2층 아르마리오 종로점,0507-1406-3123
2023-08-12 22:18:55,jongno,엠핀 종로점,여성의류,4.95,정보 없음,서울 종로구 종로 122 3~4층,0507-1324-2862
2023-08-12 22:18:55,jongno,바인드 현대시티아울렛동대문점,캐주얼웨어,4.51,106,서울 종로구 종로 30-1 1층,02-540-3863
2023-08-12 22:18:55,jongno,동대문153,패션잡화,4.43,472,서울 중구 장충단로13길 20 B1 바인드,0507-1462-2504
2023-08-12 22:18:55,jongno,잉글랜드테일러,남성정장,5,405,서울 종로구 김상옥로 30 한국기독교연합회관 b1,0507-1407-3713
2023-08-12 22:18:55,jongno,끌리는남자,남성의류,5,405,서울 종로구 김상옥로 30 한국기독교연합회관 b1,0507-1407-3713
2023-08-12 22:18:55,jongno,드림가발 종로점,가발,3.82,83,서울 종로구 종로 128 화영빌딩 901호,02-736-4030
2023-08-12 22:18:55,jongno,ABC마트 ST 대학로점,신발,3.82,83,서울 종로구 종로 128 화영빌딩 901호,02-736-4030
2023-08-12 22:18:55,jongno,젠틀몬스터 롯데백화점 본점,선글라스,4.23,정보 없음,서울 종로구 대학로 132 에이비씨마트빌딩,02-743-5100
2023-08-12 22:18:55,jongno,옷맛집,여성의류,4.44,410,서울 중구 남대문로 81 본점 3층,02-772-3251
2023-08-12 22:18:55,jongno,화려한정원,한복,4.26,230,서울 종로구 수표로28길 29 1층 옷맛집,0507-1355-3867
2023-08-12 22:18:55,jongno,여성빅사이즈 지존 두타,여성의류,4.03,613,서울 종로구 종로 183 효성주얼리시티 지하1층J045호,0507-1443-1379
2023-08-12 22:18:55,jongno,비스포크라인 맞춤정장예복 종로본점,남성정장,4.44,259,서울 중구 장충단로 275 두타 3층 14호,02-3398-6014
2023-08-12 22:18:55,jongno,로우로우 광장시장점,"가방,핸드백",4.57,970,"서울 종로구 종로 183 효성주얼리시티 지하2층 S32, 33, 34호",0507-1440-4966
2023-08-12 22:18:55,jongno,슬로우스테디클럽 살롱 안국점,캐주얼웨어,4.51,194,서울 종로구 창경궁로 88 광장시장 239호,02-2269-2891
2023-08-12 22:18:55,jongno,금은보화,패션잡화,4.64,316,서울 종로구 율곡로 84 가든타워 2층,02-725-1301
2023-08-12 22:18:55,jongno,트레일헤드 종로5가점,"등산,아웃도어",4.43,정보 없음,서울 종로구 인사동길 38-1 1층,010-3334-9421
2023-08-12 22:18:55,jongno,크록스 현대시티아울렛동대문점,신발,4.29,289,서울 종로구 동호로38길 24 1층,070-4118-9714
2023-08-12 22:18:55,jongno,슈프림,패션,4.47,77,서울 중구 장충단로13길 20 5층 크록스,02-2283-2706
2023-08-12 22:18:55,jongno,반니비스포크 명동점,남성정장,4.43,95,서울 중구 장충단로 280 지하상가 4-73호,02-774-8080
2023-08-12 22:18:55,jongno,룰루레몬 롯데백화점 명동 스토어,기능성의류,4.87,271,서울 중구 삼일대로 363 장교빌딩 지하1층,02-774-8080
2023-08-12 22:18:55,jongno,로렌랄프로렌 롯데백화점본점,종합패션,4.5,286,서울 중구 남대문로 81 롯데백화점 본점 3층,0507-1338-3329
2023-08-12 22:18:55,jongno,디올 롯데본점 여성,종합패션,4.29,28,서울 중구 을지로 30,02-772-3482
2023-08-12 22:18:55,jongno,때때롯살롱,한복,4.57,1139,서울 중구 을지로 30 롯데백화점 1F,02-726-4224
2023-08-12 22:18:55,jongno,현대동대문아메리칸투어리스트,"가방,핸드백",4.43,552,서울 종로구 수표로28길 21-12,02-704-1369
2023-08-12 22:18:55,jongno,탑텐 대학로점,캐주얼웨어,4.29,정보 없음,서울 종로구 대학로 122,02-742-0891
2023-08-12 22:18:55,jongno,원더플레이스 서울대학로점,캐주얼웨어,4.29,정보 없음,서울 종로구 대학로 122,02-742-0891
2023-08-12 22:18:55,jongno,샤넬롯데면세점본점,"가방,핸드백",4.35,933,서울 종로구 대명길 28 1층,02-3673-1012
2023-08-12 22:18:55,jongno,탑텐키즈 현대시티아울렛 동대문점,유아동복,4.46,446,서울 중구 장충단로13길 20 현대시티타워,02-2283-2842
2023-08-12 22:18:55,jongno,페리쉬 시청점,남성정장,4.46,446,서울 중구 장충단로13길 20 현대시티타워,02-2283-2842
2023-08-12 22:18:55,jongno,원더브라 대학로점,속옷,4.44,20,서울 중구 다동길 10,02-414-6646
2023-08-12 22:18:55,jongno,라이엇 스토어,패션잡화,4.57,75,서울 종로구 대학로 136,02-745-6101
2023-08-12 22:18:55,jongno,여성 빅사이즈 shes 밀리오레,여성의류,4.79,104,서울 중구 장충단로 263 1층 206호,0507-1383-2526
2023-08-12 22:18:55,jongno,비비안웨스트우드 롯데백화점본점,종합패션,4.79,104,서울 중구 장충단로 263 1층 206호,0507-1383-2526
2023-08-12 22:18:55,jongno,GU샵 동대문두타몰,캐주얼웨어,4.54,43,서울 중구 을지로 30,02-3398-4912
