name,type,star_rating,review_sum,address,contact
정일백 하노이 쌀국수 종로직영점,베트남음식,4.64,195,서울 종로구 종로 19 지하1층 B117-3호,02-722-4246
조선부뚜막 종각점,"육류,고기요리",4.64,195,서울 종로구 종로 19 지하1층 B117-3호,02-722-4246
차알 광화문 디타워점,중식당,4.4,정보 없음,서울 종로구 종로3길 17 D타워 리플레이스 광화문 3층,02-2251-8345
광화문미진,한식,4.4,정보 없음,서울 종로구 종로3길 17 D타워 리플레이스 광화문 3층,02-2251-8345
우래옥,냉면,4.37,정보 없음,서울 중구 창경궁로 62-29,02-2265-0151
익선디미방,양식,4.37,정보 없음,서울 중구 창경궁로 62-29,02-2265-0151
익선잡방,브런치,4.46,정보 없음,서울 종로구 수표로28길 17-21 익선잡방,0507-1313-3418
육랩 종로점,한식,4.46,정보 없음,서울 종로구 수표로28길 17-21 익선잡방,0507-1313-3418
살롱순라,양식,4.52,정보 없음,서울 종로구 율곡로10길 75 살롱순라,0507-1414-0084
오마카세 오사이초밥 광화문점,"초밥,롤",4.52,정보 없음,서울 종로구 율곡로10길 75 살롱순라,0507-1414-0084
갸우뚱,중식당,4.57,1906,서울 종로구 대학로9길 25,0507-1476-9037
간판없는가게,양식,4.57,1906,서울 종로구 대학로9길 25,0507-1476-9037
콸콸,양식,정보 없음,179,서울 중구 을지로12길 29 2층,0507-1400-1274
순대실록 대학로본점,"순대,순댓국",4.45,정보 없음,서울 종로구 동숭길 127 우성빌딩,0507-1407-5338
르템플,바(BAR),4.45,정보 없음,서울 종로구 동숭길 127 우성빌딩,0507-1407-5338
남포면옥,냉면,4.22,정보 없음,서울 중구 을지로3길 24,02-777-2269
최대감네,한식,4.22,정보 없음,서울 중구 을지로3길 24,02-777-2269
한판도 대학로점,"육류,고기요리",정보 없음,667,서울 종로구 대명길 18 1층,0507-1358-4898
더 키친750,이탈리아음식,정보 없음,정보 없음,서울 종로구 대학로8가길 80 2층,0507-1307-0554
카린지린가네스낵바 광화문점,일식당,정보 없음,232,서울 종로구 종로5길 32-3 1층,02-722-8818
혜화도담,한식,4.53,정보 없음,서울 종로구 대명1길 16-6 혜화도담,0507-1343-0074
샤오바오우육면 종로본점,중식당,4.53,정보 없음,서울 종로구 대명1길 16-6 혜화도담,0507-1343-0074
진주육회 4호점,한식,정보 없음,504,서울 종로구 창경궁로 86 1층,02-2263-0369
식껍 종로익선점,"육류,고기요리",정보 없음,562,서울 종로구 돈화문로11길 38 1층 식껍,0507-1339-8726
온천집,샤브샤브,4.36,정보 없음,서울 종로구 돈화문로11나길 31-8,0507-1378-8218
우연화,한식,4.36,정보 없음,서울 종로구 돈화문로11나길 31-8,0507-1378-8218
화육계,닭발,4.33,정보 없음,서울 중구 을지로14길 21 1층,0507-1412-7743
육미안 혜화점,소고기구이,4.33,정보 없음,서울 중구 을지로14길 21 1층,0507-1412-7743
익선정육,"육류,고기요리",정보 없음,632,서울 종로구 돈화문로11다길 9 1층,0507-1479-3427
삼삼뼈국 대학로점,한식,정보 없음,153,"서울 종로구 대학로 129-10 1층, 2층",070-8835-3450
오제제 광화문,일식당,정보 없음,정보 없음,서울 중구 세종대로 136 지하 3층,0507-1389-4653
진옥화할매원조닭한마리,닭요리,4.31,정보 없음,서울 종로구 종로40가길 18,02-2275-9666
아베베베이커리 서울,베이커리,4.31,정보 없음,서울 종로구 종로40가길 18,02-2275-9666
모던샤브하우스 광화문D타워점,샤브샤브,4.64,정보 없음,서울 종로구 종로3길 17 D타워 리플레이스 광화문 5층,02-2251-8501
부촌육회 본점,"육류,고기요리",4.64,정보 없음,서울 종로구 종로3길 17 D타워 리플레이스 광화문 5층,02-2251-8501
오죽이네,닭요리,4.49,정보 없음,서울 종로구 돈화문로11가길 25,02-741-8874
온미관 안국,한식,4.49,정보 없음,서울 종로구 돈화문로11가길 25,02-741-8874
대련집,"칼국수,만두",4.36,정보 없음,서울 종로구 종로16길 37,02-2265-5349
호호식당 익선,일식당,4.36,정보 없음,서울 종로구 종로16길 37,02-2265-5349
진주회관,국수,4.3,정보 없음,서울 중구 세종대로11길 26,02-753-5388
스케줄오스테리아,양식,4.3,정보 없음,서울 중구 세종대로11길 26,02-753-5388
탭샵바 청계천삼일빌딩,와인,정보 없음,110,서울 종로구 청계천로 85 삼일빌딩 지하1층,0507-1331-4095
금돼지식당,돼지고기구이,4.4,정보 없음,서울 중구 다산로 149,0507-1307-8750
촌놈,돼지고기구이,4.4,정보 없음,서울 중구 다산로 149,0507-1307-8750
달랭이,"곱창,막창,양",정보 없음,1149,서울 종로구 돈화문로11나길 16 1층,0507-1400-3379
핏제리아오 대학로 본점,피자,4.57,정보 없음,"서울 종로구 동숭길 86 2, 3층",0507-1429-5005
숙달돼지 종각점,돼지고기구이,4.57,정보 없음,"서울 종로구 동숭길 86 2, 3층",0507-1429-5005
을지로 골목집,술집,4.34,정보 없음,서울 중구 수표로 48-3 1층,02-2275-0405
이문설렁탕,"곰탕,설렁탕",4.34,정보 없음,서울 중구 수표로 48-3 1층,02-2275-0405
반기다,퓨전음식,4.53,정보 없음,서울 종로구 익선동 166-52,0507-1314-6511
칸다소바,일본식라면,4.53,정보 없음,서울 종로구 익선동 166-52,0507-1314-6511
청기와타운 종로점,"육류,고기요리",정보 없음,231,서울 종로구 삼일대로17길 19 1층,0507-1370-7843
우육면관 청계천점,중식당,4.52,정보 없음,서울 종로구 청계천로 75-2,0507-1413-5681
이유식당,"백반,가정식",4.52,정보 없음,서울 종로구 청계천로 75-2,0507-1413-5681
