name,type,star_rating,review_sum,address,contact
설화수스파 롯데호텔서울점,"피부,체형관리",4.44,74,서울 중구 을지로 30 롯데호텔 본관 7층,02-318-6121
프로방스 스파 바이 록시땅,"피부,체형관리",4.44,74,서울 중구 을지로 30 롯데호텔 본관 7층,02-318-6121
포시즌스호텔서울 스파,"피부,체형관리",4.58,57,서울 종로구 청계천로 279 JW 메리어트 동대문 스퀘어 서울 8층,02-2276-3282
더벨스파 더플라자점,"피부,체형관리",4.32,96,서울 종로구 새문안로 97,02-6388-5250
브이스파 웨스틴조선호텔 서울점,"피부,체형관리",4.58,369,서울 중구 소공로 119 플라자호텔 별관 15F,0507-1418-7809
라뽀스파,"피부,체형관리",4.86,455,서울 종로구 종로33길 3,02-742-6661
더벨스파 현대시티아울렛동대문점,"피부,체형관리",4.86,455,서울 종로구 종로33길 3,02-742-6661
아울스파,"피부,체형관리",4.57,318,서울 중구 장충단로13길 20 현대시티아울렛 지하1층,0507-1421-2132
브이스파 롯데에비뉴엘본점,"피부,체형관리",4.34,42,서울 중구 남대문로9길 40 센터 플레이스 B/D 지하 B105,02-6031-8939
코리아스파 명동본점,"피부,체형관리",4.56,48,서울 중구 남대문로 73 롯데백화점 에비뉴엘 본점 10층,02-2118-6300
레비쉬스파,"피부,체형관리",정보 없음,282,서울 종로구 동숭3길 6-4 2층,0507-1320-1470
장금 스파 에스테틱 명동점,"피부,체형관리",4.95,284,서울 중구 명동7길 25 4층 장금스파에스테틱 명동점,0507-1319-1666
HNspa 덕수궁점,"피부,체형관리",4.95,284,서울 중구 명동7길 25 4층 장금스파에스테틱 명동점,0507-1319-1666
발몽브이스파,"피부,체형관리",정보 없음,0,서울 중구 남대문로 73 AVENUEL,정보 없음
미스터사우나앤스파,"피부,체형관리",4.28,55,서울 종로구 새문안로3길 30,0507-1317-9434
스킨스파 명동본점,"피부,체형관리",4.28,55,서울 종로구 새문안로3길 30,0507-1317-9434
스파더숲,"피부,체형관리",4.57,338,서울 중구 남대문로 68 고려빌딩 4층,0507-1452-0901
박선생헤드스파,미용,4.91,343,서울 종로구 경희궁2길 6 3층,0507-1308-1970
스파by보떼비알,"피부,체형관리",4.57,52,서울 중구 퇴계로 67 레스케이프 호텔 8층,02-317-4006
위뷰티 명동점,"피부,체형관리",4.57,52,서울 중구 퇴계로 67 레스케이프 호텔 8층,02-317-4006
아로마힐링스파,"마사지,지압",4.17,468,서울 중구 퇴계로 116-1 삼영빌딩 6층,0507-1422-5509
명동스파,"피부,체형관리",정보 없음,43,서울 중구 퇴계로 141-10 1층,0507-1335-1360
다함 테라피 & 스파,"피부,체형관리",정보 없음,109,"서울 종로구 사직로8길 4 상가 301동 B1, 102호",02-725-9005
