name,type,star_rating,review_sum,address,contact
카페도프,"카페,디저트",정보 없음,30,서울 중구 동호로 376 1층,0507-1461-6302
세운나다방,다방,정보 없음,56,"서울 중구 을지로 157 4층, 세운나다방",02-2265-2681
아베베베이커리 서울,베이커리,정보 없음,1546,"서울 종로구 청계천로 201 1, 2, 3층",0507-1381-7206
서울커피 익선점,"카페,디저트",4.5,정보 없음,서울 종로구 수표로28길 33-3 1층 서울커피,0507-1404-4890
청수당 베이커리,"카페,디저트",4.5,정보 없음,서울 종로구 돈화문로11나길 31-9,0507-1318-8215
시애틀커피하우스,"카페,디저트",4.39,정보 없음,서울 종로구 종로 125 1층,0507-1321-9356
포비 광화문,베이커리,4.53,정보 없음,서울 종로구 종로3길 17 D타워 1층 21호,02-2251-8125
토오베,차,4.53,정보 없음,서울 종로구 인사동길 62-4 3층,0507-1489-7720
커피한약방,카페,4.42,정보 없음,서울 중구 삼일대로12길 16-6,070-4148-4242
을지로 베로나,"카페,디저트",4.42,정보 없음,서울 중구 충무로5길 24 3층,0507-1348-0526
크라상점 광장시장점,베이커리,4.23,1765,서울 종로구 종로32길 25 1층,010-7552-0330
티퍼런스서울,"카페,디저트",4.69,1065,서울 종로구 돈화문로 61 티퍼런스서울,02-745-1501
서울바나나커피 을지로4가점,카페,4.69,1065,"서울 중구 을지로 157 3층 다362호, 라362호",02-2276-0327
공간갑,"카페,디저트",4.71,정보 없음,"서울 중구 수표로 48-8 1, 2층",0507-1362-4569
호랑이,카페,4.71,정보 없음,서울 중구 을지로 157,0507-1305-5880
뮤직컴플렉스서울 안녕인사동점,"카페,디저트",4.43,정보 없음,서울 종로구 인사동길 49 안녕인사동 5층 뮤직컴플렉스서울,0507-1308-2939
익선주택,"카페,디저트",4.42,정보 없음,서울 종로구 수표로28길 17-33 1층,0507-1309-9208
아방베이커리 을지로 DGB점,베이커리,4.42,정보 없음,서울 중구 남대문로 125 1층,0507-1417-9923
카페하이웨스트 익선점,"카페,디저트",4.34,정보 없음,서울 종로구 돈화문로11다길 18,정보 없음
적당,"카페,디저트",4.34,정보 없음,서울 중구 을지로 29 1층 후문,0507-1312-8928
테르트르,카페,4.45,정보 없음,서울 종로구 낙산5길 46,0507-1388-5689
커피루소 정동,"카페,디저트",4.25,정보 없음,서울 중구 정동길 17 1층,02-772-9935
헬라스커피,카페,4.43,정보 없음,서울 종로구 대학로 19 1층,0507-1351-7092
서울커피 익선점,"카페,디저트",4.51,407,서울 종로구 수표로28길 33-3 1층 서울커피,0507-1404-4890
도토리가든,"카페,디저트",4.5,정보 없음,서울 종로구 계동길 19-8 1층,0507-1476-1176
노티드 안국,카페,4.44,정보 없음,서울 종로구 북촌로 6-3 1층,070-7755-9377
결,"카페,디저트",4.44,정보 없음,서울 종로구 공평동 17,0507-1437-5840
익선잡방,브런치,4.43,정보 없음,서울 종로구 수표로28길 17-21 익선잡방,0507-1313-3418
식물,카페,4.46,정보 없음,서울 종로구 돈화문로11다길 46-1,02-742-7582
빠우 시청점,도넛,4.41,정보 없음,서울 중구 남대문로9길 40 센터플레이스 1층 102호,0507-1476-8914
덕수궁 리에제와플,와플,4.44,정보 없음,서울 중구 덕수궁길 5,0507-1339-5202
소하염전,"카페,디저트",4.44,정보 없음,서울 종로구 수표로28길 21-5 (익선동),0507-1353-8215
블루보틀 광화문 카페,블루보틀,4.5,정보 없음,서울 종로구 청계천로 11 1층,1533-6906
학림,카페,4.5,정보 없음,서울 종로구 대학로 119 2층 학림카페,02-742-2877
빠우,도넛,4.52,정보 없음,서울 중구 을지로 157 대림상가 3층 라열 361호,0507-1374-9285
공차 종로센트로폴리스점,차,4.55,1423,서울 종로구 우정국로 26,02-6370-5850
카페 라미스콘 익선점,"카페,디저트",4.41,정보 없음,서울 종로구 돈화문로11나길 25,0507-1342-9562
프릳츠 원서점,카페,4.25,정보 없음,서울 종로구 율곡로 83 아라리오 뮤지엄,02-747-8101
사월의물고기,베이커리,4.42,정보 없음,서울 종로구 인사동길 62-5 (충훈빌딩) 2층,02-733-8520
온,"카페,디저트",4.59,1534,서울 종로구 돈화문로11다길 17,02-741-5733
라운드앤드,베이커리,4.18,정보 없음,서울 중구 정동길 35 두비빌딩,02-753-7003
카페 카다로그,"카페,디저트",4.42,정보 없음,서울 중구 을지로 105 이화빌딩 4층 401호,0507-1357-1868
낙원역,카페,4.37,705,서울 종로구 수표로28길 33-5,02-763-1112
미크플로 광장시장점,"카페,디저트",4.41,933,서울 종로구 동호로 395 1층,0507-1393-5338
광장시장 찹쌀꽈배기,베이커리,4.41,정보 없음,서울 종로구 종로32길 2 105호,010-8917-4547
텅,카페,4.41,정보 없음,서울 종로구 율곡로 82 701호,02-766-1933
다만프레르 SFC점,홍차전문점,4.55,정보 없음,서울 중구 세종대로 136 파이넨스빌딩 지하1층,02-6730-1323
카페첫만남,"카페,디저트",4.55,정보 없음,서울 종로구 대학로9길 12,02-766-2337
치즈인더스트리 [치즈공업사],"카페,디저트",4.3,1168,서울 종로구 수표로28길 33-7,0507-1363-1722
오키드고멧 안국,"카페,디저트",정보 없음,67,서울 종로구 창덕궁길 35 2층 오키드고멧 안국,0507-1387-7335
어니언 안국,"카페,디저트",4.43,정보 없음,서울 종로구 계동길 5 카페 어니언,0507-1424-2123
포비 을지로점,베이커리,4.43,정보 없음,서울 중구 청계천로 100 시그니처 타워 1층,02-6020-0880
플리퍼스 익선점,"카페,디저트",4.49,정보 없음,서울 종로구 수표로28길 31 1층,02-766-2526
자연도소금빵&자연도가,베이커리,4.33,정보 없음,서울 종로구 수표로28길 21-17 1층,02-743-2245
