name,type_code,type,star_rating,review_total,address_si,address_gu,address_lo,address_detail,area,contact,create_time
카페도프,A2,"카페,디저트",정보 없음,30,서울,중구,동호로,376 1층,jongno,0507-1461-6302,2023-08-15 13:17:30
세운나다방,A2,다방,정보 없음,56,서울,중구,을지로,"157 4층, 세운나다방",jongno,02-2265-2681,2023-08-15 13:17:30
아베베베이커리 서울,A2,베이커리,정보 없음,1546,서울,종로구,청계천로,"201 1, 2, 3층",jongno,0507-1381-7206,2023-08-15 13:17:30
서울커피 익선점,A2,"카페,디저트",4.5,0,서울,종로구,수표로28길,33-3 1층 서울커피,jongno,0507-1404-4890,2023-08-15 13:17:30
청수당 베이커리,A2,"카페,디저트",4.5,0,서울,종로구,돈화문로11나길,31-9,jongno,0507-1318-8215,2023-08-15 13:17:30
시애틀커피하우스,A2,"카페,디저트",4.39,0,서울,종로구,종로,125 1층,jongno,0507-1321-9356,2023-08-15 13:17:30
포비 광화문,A2,베이커리,4.53,0,서울,종로구,종로3길,17 D타워 1층 21호,jongno,02-2251-8125,2023-08-15 13:17:30
토오베,A2,차,4.53,0,서울,종로구,인사동길,62-4 3층,jongno,0507-1489-7720,2023-08-15 13:17:30
커피한약방,A2,카페,4.42,0,서울,중구,삼일대로12길,16-6,jongno,070-4148-4242,2023-08-15 13:17:30
을지로 베로나,A2,"카페,디저트",4.42,0,서울,중구,충무로5길,24 3층,jongno,0507-1348-0526,2023-08-15 13:17:30
크라상점 광장시장점,A2,베이커리,4.23,1765,서울,종로구,종로32길,25 1층,jongno,010-7552-0330,2023-08-15 13:17:30
티퍼런스서울,A2,"카페,디저트",4.69,1065,서울,종로구,돈화문로,61 티퍼런스서울,jongno,02-745-1501,2023-08-15 13:17:30
서울바나나커피 을지로4가점,A2,카페,4.69,1065,서울,중구,을지로,"157 3층 다362호, 라362호",jongno,02-2276-0327,2023-08-15 13:17:30
공간갑,A2,"카페,디저트",4.71,0,서울,중구,수표로,"48-8 1, 2층",jongno,0507-1362-4569,2023-08-15 13:17:30
호랑이,A2,카페,4.71,0,서울,중구,을지로,157,jongno,0507-1305-5880,2023-08-15 13:17:30
뮤직컴플렉스서울 안녕인사동점,A2,"카페,디저트",4.43,0,서울,종로구,인사동길,49 안녕인사동 5층 뮤직컴플렉스서울,jongno,0507-1308-2939,2023-08-15 13:17:30
익선주택,A2,"카페,디저트",4.42,0,서울,종로구,수표로28길,17-33 1층,jongno,0507-1309-9208,2023-08-15 13:17:30
아방베이커리 을지로 DGB점,A2,베이커리,4.42,0,서울,중구,남대문로,125 1층,jongno,0507-1417-9923,2023-08-15 13:17:30
카페하이웨스트 익선점,A2,"카페,디저트",4.34,0,서울,종로구,돈화문로11다길,18,jongno,정보 없음,2023-08-15 13:17:30
적당,A2,"카페,디저트",4.34,0,서울,중구,을지로,29 1층 후문,jongno,0507-1312-8928,2023-08-15 13:17:30
테르트르,A2,카페,4.45,0,서울,종로구,낙산5길,46,jongno,0507-1388-5689,2023-08-15 13:17:30
커피루소 정동,A2,"카페,디저트",4.25,0,서울,중구,정동길,17 1층,jongno,02-772-9935,2023-08-15 13:17:30
