name,type,star_rating,review_sum,address,contact,url,create_time
피크14,공방,정보 없음,92,서울 종로구 돈화문로5가길 31 4층 401호,0507-1489-1068,https://pcmap.place.naver.com/place/1647210992/home?entry=bmp&from=PLACE_AD&n_ad_group_type=10&n_query=%EC%A2%85%EB%A1%9C%EC%9B%90%EB%8D%B0%EC%9D%B4%ED%81%B4%EB%9E%98%EC%8A%A4&from=map&fromPanelNum=2&x=126.9912937&y=37.5721544&timestamp=202309071818,2023-09-07 18:17:55
한솔요리학원 종로점,요리학원,4.26,995,"서울 종로구 삼일대로 395 종로빌딩 6,7,8,9,10층",0507-1449-3300,https://pcmap.place.naver.com/place/11527360/home?entry=bmp&from=PLACE_AD&n_ad_group_type=10&n_query=%EC%A2%85%EB%A1%9C%EC%9B%90%EB%8D%B0%EC%9D%B4%ED%81%B4%EB%9E%98%EC%8A%A4&from=map&fromPanelNum=2&x=126.98737875592951&y=37.5698288329212&timestamp=202309071818,2023-09-07 18:17:55
헤이온데이,공방,정보 없음,1,서울 종로구 충신4나길 28-1,0507-1433-8021,https://pcmap.place.naver.com/place/1815693956/home?entry=bmp&from=map&fromPanelNum=2&x=127.0078484&y=37.5769717&timestamp=202309071818,2023-09-07 18:17:55
클래스온,공방,정보 없음,1,서울 성북구 보문사길 35 101호,070-4466-5551,https://pcmap.place.naver.com/place/37842067/home?entry=bmp&from=map&fromPanelNum=2&x=127.0177246&y=37.5840049&timestamp=202309071818,2023-09-07 18:17:55
닷클래스,문화센터,정보 없음,0,서울 중구 다산로33길 85,정보 없음,https://pcmap.place.naver.com/place/1611816687/home?entry=bmp&from=map&fromPanelNum=2&x=127.0106301&y=37.5640112&timestamp=202309071818,2023-09-07 18:17:55
반지그리기,공방,정보 없음,390,서울 종로구 인사동길 58 3층 반지그리기,0507-1436-8013,https://pcmap.place.naver.com/place/36642564/home?entry=bmp&from=map&fromPanelNum=2&x=126.9838151&y=37.5750909&timestamp=202309071818,2023-09-07 18:17:55
피크14,공방,정보 없음,92,서울 종로구 돈화문로5가길 31 4층 401호,0507-1489-1068,https://pcmap.place.naver.com/place/1647210992/home?entry=bmp&from=map&fromPanelNum=2&x=126.9912937&y=37.5721544&timestamp=202309071819,2023-09-07 18:17:55
프루스트,공방,4.97,정보 없음,서울 종로구 창경궁로26길 38-3,0507-1333-3552,https://pcmap.place.naver.com/restaurant/37373554/home?entry=bmp&from=map&fromPanelNum=2&x=126.9998699&y=37.5818068&timestamp=202309071819,2023-09-07 18:17:55
노이모이스튜디오,공방,정보 없음,65,서울 종로구 서순라길 129 1층 노이모이스튜디오,0507-1378-5202,https://pcmap.place.naver.com/place/1806767486/home?entry=bmp&from=map&fromPanelNum=2&x=126.99133525206683&y=37.57597468263362&timestamp=202309071819,2023-09-07 18:17:55
반지야놀자 종로본점,공방,5,498,서울 종로구 수표로 105 7층,0507-1435-1583,https://pcmap.place.naver.com/place/1179745015/home?entry=bmp&from=map&fromPanelNum=2&x=126.9891559&y=37.5706064&timestamp=202309071819,2023-09-07 18:17:55
리을미을 터프팅 공방,공방,정보 없음,11,서울 종로구 종로16길 36 301호 리을미을,010-5150-9184,https://pcmap.place.naver.com/place/1684443099/home?entry=bmp&from=map&fromPanelNum=2&x=126.98876050000001&y=37.5684824&timestamp=202309071819,2023-09-07 18:17:55
닛튼,공방,정보 없음,13,서울 중구 을지로11길 29 3층 301호,0507-1338-7382,https://pcmap.place.naver.com/place/1471603567/home?entry=bmp&from=map&fromPanelNum=2&x=126.9907517&y=37.56771&timestamp=202309071819,2023-09-07 18:17:55
뷰티인아델라,공방,정보 없음,333,서울 종로구 돈화문로5가길 31 4층 402호,0507-1360-3243,https://pcmap.place.naver.com/place/1637499851/home?entry=bmp&from=map&fromPanelNum=2&x=126.9912937&y=37.5721544&timestamp=202309071819,2023-09-07 18:17:55
메이나인쓰,공방,4.75,418,서울 종로구 돈화문로11나길 18 1층,010-3460-4564,https://pcmap.place.naver.com/place/1737793310/home?entry=bmp&from=map&fromPanelNum=2&x=126.9905855&y=37.5736417&timestamp=202309071819,2023-09-07 18:17:55
더 샤드 포슬린,도자기,4.77,171,서울 종로구 돈화문로 65,0507-1360-7008,https://pcmap.place.naver.com/place/35021912/home?entry=bmp&from=map&fromPanelNum=2&x=126.99087029999998&y=37.5742708&timestamp=202309071819,2023-09-07 18:17:55
익선공방,공방,정보 없음,17,서울 종로구 삼일대로26길 25,010-3771-1306,https://pcmap.place.naver.com/place/1326377261/home?entry=bmp&from=map&fromPanelNum=2&x=126.9891875&y=37.5735523&timestamp=202309071819,2023-09-07 18:17:55
무크 터프팅 스튜디오,공방,정보 없음,36,서울 종로구 돈화문로 72 지하1층,0507-1385-6991,https://pcmap.place.naver.com/place/1969371598/home?entry=bmp&from=map&fromPanelNum=2&x=126.991057&y=37.5749039&timestamp=202309071819,2023-09-07 18:17:55
HANDUS 한나래그릇작업실,공방,정보 없음,58,서울 종로구 북촌로1길 30-4,02-722-5064,https://pcmap.place.naver.com/place/33972165/home?entry=bmp&from=map&fromPanelNum=2&x=126.9842442&y=37.5774853&timestamp=202309071820,2023-09-07 18:17:55
가죽공방 아피체 스튜디오,공방,정보 없음,13,서울 종로구 동순라길 126-3 대경빌딩 304호,0507-0177-2098,https://pcmap.place.naver.com/place/1074732973/home?entry=bmp&from=map&fromPanelNum=2&x=126.9963104&y=37.5758342&timestamp=202309071820,2023-09-07 18:17:55
메이드인러브,공방,정보 없음,131,"서울 종로구 성균관로 8-1 2f, first door",0507-1362-3207,https://pcmap.place.naver.com/place/1545465910/home?entry=bmp&from=map&fromPanelNum=2&x=126.99821438250183&y=37.5837427402212&timestamp=202309071820,2023-09-07 18:17:55
디엔오 스튜디오,공방,정보 없음,2,서울 종로구 대학로 20 6층 605호,0507-1350-4225,https://pcmap.place.naver.com/place/1423756318/home?entry=bmp&from=map&fromPanelNum=2&x=127.0022405&y=37.5728054&timestamp=202309071820,2023-09-07 18:17:55
