name,type_code,type,star_rating,review_total,address_si,address_gu,address_lo,address_detail,area,contact,create_time,lat,lng
놀숲 종로관철점,C1,만화방,4.47,678,서울,종로구,삼일대로17길,8 대신빌딩 3층,jongno,02-730-2049,2023-08-20 16:44:19,126.9870966,37.5692897
벌툰 인더스트리얼 종각점,C1,만화방,4.47,678,서울,종로구,종로14길,9 / 3층 벌툰 만화카페,jongno,02-739-5367,2023-08-20 16:44:19,126.9870878,37.5696632
무림만화카페,C1,만화방,4.39,570,서울,종로구,삼일대로19길,15 5층 무림만화카페,jongno,02-739-8800,2023-08-20 16:44:19,126.9867385,37.5694522
콩툰 대학로점,C1,만화방,4.45,134,서울,종로구,대학로,122 지하,jongno,0507-1357-7178,2023-08-20 16:44:19,127.0022798,37.5822138
벌툰 인더스트리얼 대학로점,C1,만화방,4.01,370,서울,종로구,대학로10길,26,jongno,02-742-4158,2023-08-20 16:44:19,127.0037448,37.5816335
콩툰 동대문APM점,C1,만화방,4.43,522,서울,중구,장충단로,253 헬로우APM 지하160호,jongno,02-6388-0909,2023-08-20 16:44:19,127.0081041,37.5674846
24시 프리카페 성균관대점,C1,만화방,4.49,354,서울,종로구,창경궁로29길,25 명륜빌딩,jongno,정보 없음,2023-08-20 16:44:19,126.9974355,37.5837577
왕자만화방,C1,만화방,정보 없음,4,서울,종로구,윤보선길,31,jongno,정보 없음,2023-08-20 16:44:19,126.9837199,37.5773892
점보만화방,C1,만화방,정보 없음,2,서울,종로구,종로44길,14,jongno,정보 없음,2023-08-20 16:44:19,127.0111345,37.5705155
제이지북,C1,만화방,정보 없음,0,서울,종로구,종로44길,8,jongno,정보 없음,2023-08-20 16:44:19,127.0107220,37.5707291
네스트 키즈,C1,"카페,디저트",정보 없음,104,서울,중구,소공로,48 2층,jongno,0507-1326-5730,2023-08-20 16:44:19,126.9830775,37.5598226
놀숲 충무로동국대점,C1,만화방,4.24,203,서울,중구,서애로,6-1 3층,jongno,02-2272-3843,2023-08-20 16:44:19,126.9981982,37.5616103
hpd,C1,인테리어디자인,4.24,203,서울,중구,서애로,6-1 3층,jongno,02-2272-3843,2023-08-20 16:44:19,126.9981982,37.5616103
가구공간,C1,업소용가구,정보 없음,1,서울,중구,퇴계로,421,jongno,0507-1338-7480,2023-08-20 16:44:19,127.0183705,37.5659157
