name,type_code,type,star_rating,review_total,address_si,address_gu,address_lo,address_detail,area,contact,url,create_time,lat,lng,naver_place_id
보드게임카페 주사위왕국,C4,보드카페,4.41,221,서울,종로구,우정국로2길,42 5층 주사위왕국,jongno,0507-1330-4562,https://pcmap.place.naver.com/place/1987435465/home?entry=bmp&from=PLACE_AD&n_ad_group_type=10&n_query=%EC%A2%85%EB%A1%9C%EB%B3%B4%EB%93%9C%EA%B2%8C%EC%9E%84%EC%B9%B4%ED%8E%98&from=map&fromPanelNum=1&ts=1693142879893,2023-09-05 15:36:57,126.9854047,37.5694331,1987435465
보드게임카페 레드버튼 대학로점,C4,보드카페,4.41,221,서울,종로구,대명길,9 4층,jongno,02-763-3799,https://pcmap.place.naver.com/place/1806183610/home?entry=bmp&from=map&fromPanelNum=1&ts=1693142889025,2023-09-05 15:36:57,127.0009767,37.5833797,1806183610
퍼스트보드게임카페 대학로점,C4,보드카페,4.93,0,서울,종로구,대학로,130 3층,jongno,0507-1482-1259,https://pcmap.place.naver.com/place/1518228901/home?entry=bmp&from=map&fromPanelNum=1&ts=1693142898357,2023-09-05 15:36:57,127.0021374,37.5828930,1518228901
보드게임카페 주사위왕국,C4,보드카페,4.93,0,서울,종로구,우정국로2길,42 5층 주사위왕국,jongno,0507-1330-4562,https://pcmap.place.naver.com/place/1987435465/home?entry=bmp&from=map&fromPanelNum=1&ts=1693142907867,2023-09-05 15:36:57,126.9854047,37.5694331,1987435465
보드게임카페 보드스토리,C4,보드카페,4.41,221,서울,종로구,종로12길,16 대성빌딩,jongno,02-732-5400,https://pcmap.place.naver.com/place/33410043/home?entry=bmp&from=map&fromPanelNum=1&ts=1693142916993,2023-09-05 15:36:57,126.9856039,37.5693367,33410043
플렉스 보드게임카페,C4,보드카페,4.4,409,서울,종로구,종로,119 3층 FLEX 보드게임카페,jongno,0507-1485-0369,https://pcmap.place.naver.com/place/1731558575/home?entry=bmp&from=map&fromPanelNum=1&ts=1693142926271,2023-09-05 15:36:57,126.9908437,37.5706361,1731558575
인생이 보드게임,C4,보드카페,4.67,297,서울,종로구,수표로,107 2층,jongno,0507-1366-0997,https://pcmap.place.naver.com/place/1050017666/home?entry=bmp&from=map&fromPanelNum=1&ts=1693142935454,2023-09-05 15:36:57,126.9892169,37.5707949,1050017666
블랙조커 동묘점,C4,보드카페,정보 없음,3,서울,종로구,종로,336 2층,jongno,0507-1432-9077,https://pcmap.place.naver.com/place/1695028416/home?entry=bmp&from=map&fromPanelNum=1&ts=1693142944632,2023-09-05 15:36:57,127.0150289,37.5725441,1695028416
히어로보드게임카페 대학로점,C4,보드카페,정보 없음,443,서울,종로구,대학로10길,12 2층 히어로보드게임카페,jongno,0507-1393-2901,https://pcmap.place.naver.com/place/1868073958/home?entry=bmp&from=map&fromPanelNum=1&ts=1693142955622,2023-09-05 15:36:57,127.0028255,37.5816161,1868073958
펀타임 대학로점,C4,보드카페,4.16,171,서울,종로구,대명길,24 5층,jongno,070-7568-0327,https://pcmap.place.naver.com/place/33907132/home?entry=bmp&from=map&fromPanelNum=1&ts=1693142966493,2023-09-05 15:36:57,127.0002521,37.5834381,33907132
블랙문,C4,보드카페,4.16,171,서울,서대문구,통일로,105 2층 블랙문,jongno,010-5291-2114,https://pcmap.place.naver.com/place/1020105286/home?entry=bmp&from=map&fromPanelNum=1&ts=1693142976629,2023-09-05 15:36:57,126.9676128,37.5643236,1020105286
모나코,C4,보드카페,정보 없음,8,서울,중구,명동길,38 7층,jongno,0507-1413-8188,https://pcmap.place.naver.com/place/1038810896/home?entry=bmp&from=map&fromPanelNum=1&ts=1693142985632,2023-09-05 15:36:57,126.9844144,37.5636223,1038810896
보드게임 101,C4,보드카페,4.24,197,서울,종로구,새문안로3길,23 경희궁의아침4단지 B2 107호,jongno,0507-1393-0688,https://pcmap.place.naver.com/place/1975804552/home?entry=bmp&from=map&fromPanelNum=1&ts=1693142996528,2023-09-05 15:36:57,126.9722259,37.5726215,1975804552
레드다이스,C4,보드카페,4.24,197,서울,종로구,창경궁로29길,25 명륜빌딩 명륜빌딩 2층 202호,jongno,02-765-7455,https://pcmap.place.naver.com/place/35608499/home?entry=bmp&from=map&fromPanelNum=1&ts=1693143006272,2023-09-05 15:36:57,126.9974355,37.5837577,35608499
동대문 홀덤,C4,보드카페,4.22,42,서울,중구,다산로47길,15 7층 711-1호,jongno,0507-1494-1252,https://pcmap.place.naver.com/place/1428465543/home?entry=bmp&from=map&fromPanelNum=1&ts=1693143015574,2023-09-05 15:36:57,127.0151137,37.5665317,1428465543
플레이보드카페,C4,보드카페,정보 없음,0,서울,중구,필동로,31 2층,jongno,0507-1379-3135,https://pcmap.place.naver.com/place/1793763614/home?entry=bmp&from=map&fromPanelNum=1&ts=1693143024541,2023-09-05 15:36:57,126.9963695,37.5588368,1793763614
