name,type,star_rating,review_sum,address,contact,url,create_time
HIDE AND SEEK 쌈지길점,방탈출카페,정보 없음,1072,서울 종로구 인사동길 44 쌈지길 B2층,010-3235-5900,https://pcmap.place.naver.com/place/1007103754/home?entry=bmp&from=map&fromPanelNum=2&x=126.9848766&y=37.5742648&timestamp=202309071829,2023-09-07 18:28:58
비밀의화원 시네마틱 혜화점,방탈출카페,4.64,618,서울 종로구 대명길 9 지하2층,02-763-3289,https://pcmap.place.naver.com/place/1798307935/home?entry=bmp&from=map&fromPanelNum=2&x=127.0009754&y=37.5835062&timestamp=202309071829,2023-09-07 18:28:58
에필로그,방탈출카페,정보 없음,163,서울 종로구 대학로8가길 48 지층,0507-1388-8402,https://pcmap.place.naver.com/place/1203808746/home?entry=bmp&from=map&fromPanelNum=2&x=127.0024406&y=37.5829368&timestamp=202309071829,2023-09-07 18:28:58
시크릿챔버,방탈출카페,4.5,정보 없음,서울 종로구 창경궁로 258-12 2층,02-745-1614,https://pcmap.place.naver.com/place/37641764/home?entry=bmp&from=map&fromPanelNum=2&x=127.00033356128282&y=37.583678973869496&timestamp=202309071829,2023-09-07 18:28:58
덤앤더머 방탈출카페,방탈출카페,4.89,정보 없음,서울 종로구 동숭길 143 로얄케스트 지하,02-741-0955,https://pcmap.place.naver.com/place/491249986/home?entry=bmp&from=map&fromPanelNum=2&x=127.002399200485&y=37.5833286004307&timestamp=202309071829,2023-09-07 18:28:58
상상의문 대학로점,방탈출카페,정보 없음,정보 없음,서울 종로구 창경궁로34길 18-5 지하 3층,02-765-7771,https://pcmap.place.naver.com/place/1629617329/home?entry=bmp&from=map&fromPanelNum=2&x=127.0008253&y=37.5841148&timestamp=202309071829,2023-09-07 18:28:58
셜록홈즈 대학로점,방탈출카페,4.9,1046,서울 종로구 대학로10길 5 4층,0507-1302-0198,https://pcmap.place.naver.com/place/1907056844/home?entry=bmp&from=map&fromPanelNum=2&x=127.0025831&y=37.5818573&timestamp=202309071829,2023-09-07 18:28:58
비밀의화원 대학로점,방탈출카페,4.44,1193,서울 종로구 대학로 130 지하 1층,0507-1373-8901,https://pcmap.place.naver.com/place/1625220556/home?entry=bmp&from=map&fromPanelNum=2&x=127.0021374&y=37.582893&timestamp=202309071829,2023-09-07 18:28:58
셜록홈즈 종각점,방탈출카페,4.41,168,서울 종로구 삼일대로17길 17 4층 셜록홈즈 종각,0507-1358-0522,https://pcmap.place.naver.com/place/1186945281/home?entry=bmp&from=map&fromPanelNum=2&x=126.98651826511795&y=37.56912977257185&timestamp=202309071829,2023-09-07 18:28:58
비트포비아 대학로,방탈출카페,정보 없음,880,서울 종로구 대학로10길 12 5층,02-742-5252,https://pcmap.place.naver.com/place/37663526/home?entry=bmp&from=map&fromPanelNum=2&x=127.0028096&y=37.5816118&timestamp=202309071830,2023-09-07 18:28:58
룸즈에이 대학로점,방탈출카페,4.75,412,서울 종로구 대학로10길 15-15 해안빌딩 지하1층,02-747-9003,https://pcmap.place.naver.com/place/1954470905/home?entry=bmp&from=map&fromPanelNum=2&x=127.0028144&y=37.5824911&timestamp=202309071830,2023-09-07 18:28:58
더큐이스케이프 대학로점,방탈출카페,4.13,453,서울 종로구 대학로12길 15 2층,02-742-7007,https://pcmap.place.naver.com/place/37429906/home?entry=bmp&from=map&fromPanelNum=2&x=127.0028329&y=37.582749&timestamp=202309071830,2023-09-07 18:28:58
비트포비아 명동,방탈출카페,4.43,280,서울 중구 명동10길 13 4층,0507-1343-8094,https://pcmap.place.naver.com/place/37629951/home?entry=bmp&from=map&fromPanelNum=2&x=126.9854332&y=37.5632664&timestamp=202309071830,2023-09-07 18:28:58
알카트래즈,방탈출카페,정보 없음,40,서울 중구 명동길 38 8층(1층 아이더매장내 엘리베이터 이용),02-319-7316,https://pcmap.place.naver.com/place/215618975/home?entry=bmp&from=map&fromPanelNum=2&x=126.9844144&y=37.5636223&timestamp=202309071830,2023-09-07 18:28:58
cafe 탈출카페,방탈출카페,정보 없음,3,서울 종로구 율곡로3길 66-7,02-4746-4643,https://pcmap.place.naver.com/place/946227144/home?entry=bmp&from=map&fromPanelNum=2&x=126.98253473292901&y=37.578664906778805&timestamp=202309071830,2023-09-07 18:28:58
