name,type,star_rating,review_sum,address,contact,url,create_time
스매싱볼 종로점,볼링장,4.01,294,서울 종로구 종로 78 지하1층,02-723-2231,https://pcmap.place.naver.com/place/1952709548/home?entry=bmp&from=map&fromPanelNum=2&x=126.98619436708509&y=37.569985209254924&timestamp=202309071831,2023-09-07 18:30:50
제이앤제이볼링센터,볼링장,4.43,392,서울 종로구 종로12길 15 4층,02-723-0923,https://pcmap.place.naver.com/place/1020155276/home?entry=bmp&from=map&fromPanelNum=2&x=126.9860377&y=37.5693665&timestamp=202309071831,2023-09-07 18:30:50
나인티나인,볼링장,4.19,268,서울 종로구 대학로 144 4층 나인티나인,02-744-9994,https://pcmap.place.naver.com/place/1801465711/home?entry=bmp&from=map&fromPanelNum=2&x=127.0020846&y=37.5839822&timestamp=202309071831,2023-09-07 18:30:50
볼링볼링,볼링장,4.48,857,서울 중구 청계천로 400 롯데캐슬베네치아 메가몰동 지하1층,0507-1320-6606,https://pcmap.place.naver.com/place/1519806221/home?entry=bmp&from=map&fromPanelNum=2&x=127.01970940018201&y=37.5707861005852&timestamp=202309071831,2023-09-07 18:30:50
어썸라운지볼24,볼링장,4.14,87,서울 종로구 성균관로 12 유니지오,0507-1414-4543,https://pcmap.place.naver.com/place/813374700/home?entry=bmp&from=map&fromPanelNum=2&x=126.99798824596354&y=37.58397442571682&timestamp=202309071831,2023-09-07 18:30:50
원서레인스,볼링장,정보 없음,23,서울 종로구 창덕궁1길 13,02-742-0707,https://pcmap.place.naver.com/place/1619965984/home?entry=bmp&from=map&fromPanelNum=2&x=126.98850154048375&y=37.57918100331873&timestamp=202309071831,2023-09-07 18:30:50
MONKEY볼링센터,볼링장,4.14,297,서울 중구 장충단로 253 헬로우APM,02-6388-3456,https://pcmap.place.naver.com/place/324704630/home?entry=bmp&from=map&fromPanelNum=2&x=127.00815119996801&y=37.56746290069949&timestamp=202309071831,2023-09-07 18:30:50
굿모닝시티볼,볼링장,4.28,541,서울 중구 장충단로 247 5층,02-2268-0924,https://pcmap.place.naver.com/place/1968551262/home?entry=bmp&from=map&fromPanelNum=2&x=127.007403&y=37.5668246&timestamp=202309071831,2023-09-07 18:30:50
청석개발,볼링장,4.21,181,서울 종로구 창덕궁1길 13,02-742-5620,https://pcmap.place.naver.com/place/1854304126/home?entry=bmp&from=map&fromPanelNum=2&x=126.9884461&y=37.5791131&timestamp=202309071831,2023-09-07 18:30:50
라운지볼,볼링장,4.38,47,"서울 종로구 성균관로 12 (명륜2가, 유니지오) 지하1층",정보 없음,https://pcmap.place.naver.com/place/1374464699/home?entry=bmp&from=map&fromPanelNum=2&x=126.9981823&y=37.5839747&timestamp=202309071831,2023-09-07 18:30:50
코끼리볼링장,볼링장,4.48,264,서울 중구 퇴계로 166 흥국빌딩 B1,02-2268-6074,https://pcmap.place.naver.com/place/13513331/home?entry=bmp&from=map&fromPanelNum=2&x=126.99011800014101&y=37.56095600192069&timestamp=202309071831,2023-09-07 18:30:50
엘씨아이볼링장,볼링장,4.1,230,서울 중구 퇴계로18길 14 프라자빌딩,02-771-2345,https://pcmap.place.naver.com/place/13513324/home?entry=bmp&from=map&fromPanelNum=2&x=126.98508898837699&y=37.56023149590079&timestamp=202309071831,2023-09-07 18:30:50
