name,type,star_rating,review_sum,address,contact,url
익선슈팅클럽,오락실,4.47,786,서울 종로구 수표로28길 21-13,정보 없음,https://pcmap.place.naver.com/place/1722877110/home?entry=bmp&from=map&fromPanelNum=1&ts=1693143273203
우리게임장,오락실,4.47,786,서울 종로구 대명길 24,정보 없음,https://pcmap.place.naver.com/place/20909851/home?entry=bmp&from=map&fromPanelNum=1&ts=1693143281321
세미소사야구장,오락실,정보 없음,22,서울 종로구 대학로 144 중원빌딩,02-762-0243,https://pcmap.place.naver.com/place/33166947/home?entry=bmp&from=map&fromPanelNum=1&ts=1693143288392
세븐틴코인노래연습장 종로3가점,노래방,정보 없음,57,서울 종로구 돈화문로11길 38 경한빌딩 2층,02-747-2202,https://pcmap.place.naver.com/place/1353484853/home?entry=bmp&from=map&fromPanelNum=1&ts=1693143295241
G르Go코인노래연습장,노래방,4.65,148,서울 종로구 대명길 37 3층 4층,0507-1353-6211,https://pcmap.place.naver.com/place/1021302158/home?entry=bmp&from=map&fromPanelNum=1&ts=1693143302749
낙원게임랜드,오락실,4.65,148,서울 종로구 돈화문로5길 38 한성빌딩,02-5229-7040,https://pcmap.place.naver.com/place/599463831/home?entry=bmp&from=map&fromPanelNum=1&ts=1693143308274
드림 코인 노래연습장,노래방,4.36,313,서울 종로구 종로12길 14 3층,02-733-3367,https://pcmap.place.naver.com/place/1710676941/home?entry=bmp&from=map&fromPanelNum=1&ts=1693143313478
고래고래코인노래연습장,노래방,4.36,313,서울 종로구 우정국로2길 42 덕산빌딩 지하1층,0507-1415-7344,https://pcmap.place.naver.com/place/1079072185/home?entry=bmp&from=map&fromPanelNum=1&ts=1693143319040
악쓰는하마코인노래연습장,노래방,4.46,164,서울 종로구 대명길 9 _3층,02-3674-0003,https://pcmap.place.naver.com/place/1526812708/home?entry=bmp&from=map&fromPanelNum=1&ts=1693143323944
짱오락실 종로점,오락실,4.48,85,서울 종로구 종로14길 5,02-0200-0000,https://pcmap.place.naver.com/place/1745549429/home?entry=bmp&from=map&fromPanelNum=1&ts=1693143329171
세븐틴코인노래연습장 을지로3가점,노래방,정보 없음,30,서울 중구 을지로 110-1 2층,02-6248-4455,https://pcmap.place.naver.com/place/1498289007/home?entry=bmp&from=map&fromPanelNum=1&ts=1693143334359
에코코인노래연습장,노래방,정보 없음,38,서울 종로구 대명길 40 상지빌딩 지하1층,0507-1407-6675,https://pcmap.place.naver.com/place/1279861834/home?entry=bmp&from=map&fromPanelNum=1&ts=1693143341177
