name,type_code,type,star_rating,review_total,address_si,address_gu,address_lo,address_detail,area,contact,url,create_time,lat,lng,naver_place_id
익선슈팅클럽,D3,오락실,4.46,788,서울,종로구,수표로28길,21-13,jongno,정보 없음,https://pcmap.place.naver.com/place/1722877110/home?entry=bmp&from=map&fromPanelNum=2&x=126.9897117&y=37.5734378&timestamp=202309071832,2023-09-07 18:32:03,126.9897117,37.5734378,1722877110
세미소사야구장,D3,오락실,정보 없음,23,서울,종로구,대학로,144 중원빌딩,jongno,02-762-0243,https://pcmap.place.naver.com/place/33166947/home?entry=bmp&from=map&fromPanelNum=2&x=127.00238600000044&y=37.58392849999992&timestamp=202309071832,2023-09-07 18:32:03,127.0020846,37.5839822,33166947
우리게임장,D3,오락실,정보 없음,24,서울,종로구,대명길,24,jongno,정보 없음,https://pcmap.place.naver.com/place/20909851/home?entry=bmp&from=map&fromPanelNum=2&x=127.00026060000016&y=37.583408499999734&timestamp=202309071832,2023-09-07 18:32:03,127.0002521,37.5834381,20909851
낙원게임랜드,D3,오락실,정보 없음,0,서울,종로구,돈화문로5길,38 한성빌딩,jongno,02-5229-7040,https://pcmap.place.naver.com/place/599463831/home?entry=bmp&from=map&fromPanelNum=2&x=126.98980267308646&y=37.57069587415212&timestamp=202309071832,2023-09-07 18:32:03,126.9898650,37.5707552,599463831
세븐틴코인노래연습장 종로3가점,D3,노래방,정보 없음,59,서울,종로구,돈화문로11길,38 경한빌딩 2층,jongno,02-747-2202,https://pcmap.place.naver.com/place/1353484853/home?entry=bmp&from=map&fromPanelNum=2&x=126.9893452&y=37.572674&timestamp=202309071833,2023-09-07 18:32:03,126.9893452,37.5726740,1353484853
드림 코인 노래연습장,D3,노래방,4.36,313,서울,종로구,종로12길,14 3층,jongno,02-733-3367,https://pcmap.place.naver.com/place/1710676941/home?entry=bmp&from=map&fromPanelNum=2&x=126.9855858&y=37.569455&timestamp=202309071833,2023-09-07 18:32:03,126.9855994,37.5694449,1710676941
고래고래코인노래연습장,D3,노래방,4.46,165,서울,종로구,우정국로2길,42 덕산빌딩 지하1층,jongno,0507-1415-7344,https://pcmap.place.naver.com/place/1079072185/home?entry=bmp&from=map&fromPanelNum=2&x=126.9853874&y=37.5694417&timestamp=202309071833,2023-09-07 18:32:03,126.9854047,37.5694331,1079072185
G르Go코인노래연습장,D3,노래방,4.65,150,서울,종로구,대명길,37 3층 4층,jongno,0507-1353-6211,https://pcmap.place.naver.com/place/1021302158/home?entry=bmp&from=map&fromPanelNum=2&x=126.9995971&y=37.5829145&timestamp=202309071833,2023-09-07 18:32:03,126.9995846,37.5829169,1021302158
짱오락실 종로점,D3,오락실,정보 없음,33,서울,종로구,종로14길,5,jongno,02-0200-0000,https://pcmap.place.naver.com/place/1745549429/home?entry=bmp&from=map&fromPanelNum=2&x=126.9870544&y=37.5698297&timestamp=202309071833,2023-09-07 18:32:03,126.9870525,37.5698194,1745549429
악쓰는하마코인노래연습장,D3,노래방,4.48,87,서울,종로구,대명길,9 _3층,jongno,02-3674-0003,https://pcmap.place.naver.com/place/1526812708/home?entry=bmp&from=map&fromPanelNum=2&x=127.0009767&y=37.5833797&timestamp=202309071833,2023-09-07 18:32:03,127.0009767,37.5833797,1526812708
