name,type_code,type,star_rating,review_total,address_si,address_gu,address_lo,address_detail,area,contact,create_time,lat,lng
청계광장옆자전거대여소,E2,따릉이,정보 없음,10,서울,중구,태평로1가,,jongno,정보 없음,2023-08-20 16:40:47,126.9772484,37.5676845
부산은행자전거대여소,E2,따릉이,정보 없음,0,서울,중구,을지로1가,,jongno,정보 없음,2023-08-20 16:40:47,126.9805525,37.5659693
롯데호텔자전거대여소,E2,따릉이,정보 없음,10,서울,중구,을지로1가,,jongno,정보 없음,2023-08-20 16:40:47,126.9805525,37.5659693
종각역1번출구앞자전거대여소,E2,따릉이,정보 없음,1,서울,종로구,종로1가,,jongno,정보 없음,2023-08-20 16:40:47,126.9796832,37.5704148
종묘공영주차장건너편자전거대여소,E2,따릉이,정보 없음,2,서울,종로구,종로4가,,jongno,정보 없음,2023-08-20 16:40:47,126.9979211,37.5706536
동묘앞역6번출구자전거대여소,E2,따릉이,정보 없음,0,서울,종로구,창신동,,jongno,정보 없음,2023-08-20 16:40:47,127.016363,37.570758
종로5가역4번출구자전거대여소,E2,따릉이,정보 없음,1,서울,종로구,종로5가,,jongno,정보 없음,2023-08-20 16:40:47,127.0036,37.570633
을지로입구역2번출구자전거대여소,E2,따릉이,정보 없음,3,서울,중구,을지로1가,,jongno,정보 없음,2023-08-20 16:40:47,126.9805525,37.5659693
종로3가역2번출구뒤자전거대여소,E2,따릉이,정보 없음,1,서울,종로구,종로3가,,jongno,정보 없음,2023-08-20 16:40:47,126.9923214,37.57039
을지로3가역3번출구자전거대여소,E2,따릉이,정보 없음,0,서울,중구,을지로3가,,jongno,정보 없음,2023-08-20 16:40:47,126.99215,37.5662167
