name,type,star_rating,review_sum,address,contact,url,create_time
대학로티오엠,공연장,정보 없음,정보 없음,서울 종로구 대학로8가길 85,1544-8303,https://pcmap.place.naver.com/place/35445215/home?entry=bmp&from=map&fromPanelNum=2&x=127.003650399636&y=37.582296801186104&timestamp=202309071846,2023-09-07 18:45:56
대학로뮤지컬센터,공연장,정보 없음,298,서울 종로구 동숭길 100,02-2135-1507,https://pcmap.place.naver.com/place/31083295/home?entry=bmp&from=map&fromPanelNum=2&x=127.00431949965198&y=37.582920801049795&timestamp=202309071846,2023-09-07 18:45:56
남뮤지컬아카데미,연기학원,정보 없음,194,서울 종로구 대학로8가길 80 리트모빌딩 4층,02-3472-9318,https://pcmap.place.naver.com/place/13542897/home?entry=bmp&from=map&fromPanelNum=2&x=127.0032706&y=37.582535&timestamp=202309071846,2023-09-07 18:45:56
뮤지컬점프,공연장,3.81,97,서울 중구 마른내로 47,02-722-3995,https://pcmap.place.naver.com/place/11888615/home?entry=bmp&from=map&fromPanelNum=2&x=126.99320059953699&y=37.56469790118128&timestamp=202309071846,2023-09-07 18:45:56
뮤지컬넌센스,극단,정보 없음,41,서울 종로구 대학로 144 중원빌딩 지하2층 203호,02-741-1234,https://pcmap.place.naver.com/place/19753619/home?entry=bmp&from=map&fromPanelNum=2&x=127.00206450052&y=37.5840005000888&timestamp=202309071846,2023-09-07 18:45:56
뮤지컬컴퍼니에이,영화제작업,정보 없음,0,서울 종로구 인사동4길 17,02-749-8942,https://pcmap.place.naver.com/place/38709040/home?entry=bmp&from=map&fromPanelNum=2&x=126.9865432&y=37.5738362&timestamp=202309071846,2023-09-07 18:45:56
케이에스앤엔터테인먼트,공연장,정보 없음,16,서울 종로구 삼일대로 386 시네코아,02-2637-2777,https://pcmap.place.naver.com/place/34069491/home?entry=bmp&from=map&fromPanelNum=2&x=126.98822270017298&y=37.56900800059239&timestamp=202309071846,2023-09-07 18:45:56
서울시뮤지컬단,연극,정보 없음,3,서울 종로구 세종대로 175,02-399-1772,https://pcmap.place.naver.com/place/18664500/home?entry=bmp&from=map&fromPanelNum=2&x=126.97563590000001&y=37.5724616&timestamp=202309071847,2023-09-07 18:45:56
과수원뮤지컬컴퍼니,극단,정보 없음,9,서울 종로구 대학로10길 15-15,정보 없음,https://pcmap.place.naver.com/place/1844318025/home?entry=bmp&from=map&fromPanelNum=2&x=127.0028445&y=37.5824811&timestamp=202309071847,2023-09-07 18:45:56
IMT뮤지컬스튜디오,극단,정보 없음,12,서울 중구 다산로 207 태정빌딩 4층,0507-1369-9727,https://pcmap.place.naver.com/place/12041629/home?entry=bmp&from=map&fromPanelNum=2&x=127.01445507249102&y=37.5618343288653&timestamp=202309071847,2023-09-07 18:45:56
동방뮤지컬컴퍼니,공연장,정보 없음,3,서울 종로구 대학로11길 41-8,02-712-3865,https://pcmap.place.naver.com/place/12076990/home?entry=bmp&from=map&fromPanelNum=2&x=126.999370599476&y=37.5821953007257&timestamp=202309071847,2023-09-07 18:45:56
뮤지컬노래방,노래방,정보 없음,23,서울 중구 명동8길 11-6,02-3789-8868,https://pcmap.place.naver.com/place/21170368/home?entry=bmp&from=map&fromPanelNum=2&x=126.9849627&y=37.5631698&timestamp=202309071847,2023-09-07 18:45:56
아르코한예종 뮤지컬창작아카데미,"연구,연구소",정보 없음,0,서울 종로구 창경궁로 215 한국예술종합학교 대학로캠퍼스 205호,0507-1402-9792,https://pcmap.place.naver.com/place/37927961/home?entry=bmp&from=map&fromPanelNum=2&x=126.9970111&y=37.5824547&timestamp=202309071847,2023-09-07 18:45:56
홍익대 공연예술 뮤지컬,"공연,연극시설",정보 없음,0,서울 종로구 대학로 57 B220-2,010-3841-5336,https://pcmap.place.naver.com/place/1181644198/home?entry=bmp&from=map&fromPanelNum=2&x=127.0013729&y=37.5764627&timestamp=202309071847,2023-09-07 18:45:56
대영뮤지컬 컴퍼니,극단,정보 없음,0,서울 종로구 창경궁로 254 동원빌딩,010-9638-1938,https://pcmap.place.naver.com/place/37592412/home?entry=bmp&from=map&fromPanelNum=2&x=126.9999932&y=37.5837017&timestamp=202309071848,2023-09-07 18:45:56
사단법인 한국뮤지컬협회,"문화,예술",정보 없음,5,서울 종로구 동숭길 101,02-765-5598,https://pcmap.place.naver.com/place/20986186/home?entry=bmp&from=map&fromPanelNum=2&x=127.0040244&y=37.5824752&timestamp=202309071848,2023-09-07 18:45:56
더뮤지컬센터,기업,정보 없음,0,서울 종로구 동숭길 100,정보 없음,https://pcmap.place.naver.com/place/1456634610/home?entry=bmp&from=map&fromPanelNum=2&x=127.004257999999&y=37.5828744999462&timestamp=202309071848,2023-09-07 18:45:56
뮤지컬셰프 가온홀,"공연,연극시설",정보 없음,0,서울 중구 마른내로 47 명보극장,정보 없음,https://pcmap.place.naver.com/place/1734126716/home?entry=bmp&from=map&fromPanelNum=2&x=126.99324760049207&y=37.564693285484154&timestamp=202309071848,2023-09-07 18:45:56
바라뮤지컬연구소,극단,정보 없음,3,서울 종로구 북촌로 31-4 오픈아이즈센터 2층,정보 없음,https://pcmap.place.naver.com/place/1941252248/home?entry=bmp&from=map&fromPanelNum=2&x=126.98473549994598&y=37.57970740036829&timestamp=202309071848,2023-09-07 18:45:56
엔에이 뮤지컬컴퍼니,"영상,오디오,방송",정보 없음,3,서울 종로구 이화장길 86-11 201호,02-2236-9296,https://pcmap.place.naver.com/place/13173022/home?entry=bmp&from=map&fromPanelNum=2&x=127.0051581&y=37.5792322&timestamp=202309071848,2023-09-07 18:45:56
드림아트센터,공연장,4.38,정보 없음,서울 종로구 동숭길 123 드림아트센터,02-3481-8843,https://pcmap.place.naver.com/place/38576076/home?entry=bmp&from=map&fromPanelNum=2&x=127.0032936998&y=37.5832930007066&timestamp=202309071848,2023-09-07 18:45:56
대학로 JTN 아트홀,"공연,연극시설",정보 없음,정보 없음,서울 종로구 이화장길 26 대학로 JTN 아트홀,02-779-1595,https://pcmap.place.naver.com/place/20978368/home?entry=bmp&from=map&fromPanelNum=2&x=127.003943299665&y=37.5766384003194&timestamp=202309071848,2023-09-07 18:45:56
예스24스테이지,"공연,연극시설",4.48,정보 없음,서울 종로구 대학로12길 21,02-742-9637,https://pcmap.place.naver.com/place/1524725593/home?entry=bmp&from=map&fromPanelNum=2&x=127.00317109166899&y=37.5827685969849&timestamp=202309071849,2023-09-07 18:45:56
대학로자유극장,"공연,연극시설",정보 없음,990,서울 종로구 대학로12길 31,0507-1370-0661,https://pcmap.place.naver.com/place/317404170/home?entry=bmp&from=map&fromPanelNum=2&x=127.00356619962301&y=37.58274920095529&timestamp=202309071849,2023-09-07 18:45:56
시온아트홀,공연장,정보 없음,326,서울 종로구 대학로8가길 52 3층,070-8719-9106,https://pcmap.place.naver.com/place/1491198750/home?entry=bmp&from=map&fromPanelNum=2&x=127.00263659989699&y=37.582999501334&timestamp=202309071849,2023-09-07 18:45:56
