name,type,star_rating,review_sum,address,contact,url
세종문화회관,"공연,연극시설",4.42,정보 없음,서울 종로구 세종대로 175,02-399-1000,https://pcmap.place.naver.com/place/11576170/home?entry=bmp&from=map&fromPanelNum=1&ts=1693143668152
드림아트센터,공연장,4.42,정보 없음,서울 종로구 동숭길 123 드림아트센터,02-3481-8843,https://pcmap.place.naver.com/place/38576076/home?entry=bmp&from=map&fromPanelNum=1&ts=1693143674262
세종문화회관 대극장,공연장,4.38,정보 없음,서울 종로구 세종대로 175 세종이야기,02-399-1111,https://pcmap.place.naver.com/place/13412847/home?entry=bmp&from=map&fromPanelNum=1&ts=1693143679332
충무아트센터,공연장,4.49,정보 없음,서울 중구 퇴계로 387,02-2230-6600,https://pcmap.place.naver.com/place/11663705/home?entry=bmp&from=map&fromPanelNum=1&ts=1693143684339
국립정동극장,공연장,4.4,정보 없음,서울 중구 정동길 43,02-751-1500,https://pcmap.place.naver.com/place/11620908/home?entry=bmp&from=map&fromPanelNum=1&ts=1693143689742
대학로 JTN 아트홀,"공연,연극시설",4.38,정보 없음,서울 종로구 이화장길 26 대학로 JTN 아트홀,02-779-1595,https://pcmap.place.naver.com/place/20978368/home?entry=bmp&from=map&fromPanelNum=1&ts=1693143694988
예스24스테이지,"공연,연극시설",4.48,정보 없음,서울 종로구 대학로12길 21,02-742-9637,https://pcmap.place.naver.com/place/1524725593/home?entry=bmp&from=map&fromPanelNum=1&ts=1693143699991
달밤엔씨어터,"공연,연극시설",4.48,정보 없음,서울 종로구 대학로14길 18-2 지하1층,02-985-5654,https://pcmap.place.naver.com/place/1546280678/home?entry=bmp&from=map&fromPanelNum=1&ts=1693143705623
세종문화회관 M씨어터,공연장,정보 없음,정보 없음,서울 종로구 세종대로 175 세종이야기,02-399-1111,https://pcmap.place.naver.com/place/13412846/home?entry=bmp&from=map&fromPanelNum=1&ts=1693143710557
홍익대학교 대학로 아트센터,공연장,4.29,정보 없음,서울 종로구 대학로 57,02-742-0300,https://pcmap.place.naver.com/place/31222671/home?entry=bmp&from=map&fromPanelNum=1&ts=1693143717374
대학로티오엠,공연장,4.29,정보 없음,서울 종로구 대학로8가길 85,1544-8303,https://pcmap.place.naver.com/place/35445215/home?entry=bmp&from=map&fromPanelNum=1&ts=1693143722960
JTN 아트홀 1관,공연장,4.06,712,서울 종로구 이화장길 26,02-779-1595,https://pcmap.place.naver.com/place/13413042/home?entry=bmp&from=map&fromPanelNum=1&ts=1693143727991
국립정동극장 세실,공연장,4.06,712,서울 중구 세종대로19길 16,02-751-1500,https://pcmap.place.naver.com/place/11639908/home?entry=bmp&from=map&fromPanelNum=1&ts=1693143733674
홍익대학교대학로아트센터 대극장,공연장,4.71,966,서울 종로구 대학로 57,02-742-0300,https://pcmap.place.naver.com/place/37609050/home?entry=bmp&from=map&fromPanelNum=1&ts=1693143738706
링크아트센터,"공연,연극시설",4.57,정보 없음,서울 종로구 대학로14길 29 링크아트센터,02-3674-7897,https://pcmap.place.naver.com/place/1142511774/home?entry=bmp&from=map&fromPanelNum=1&ts=1693143743701
두산아트센터,공연장,4.28,834,서울 종로구 종로33길 15,02-708-5001,https://pcmap.place.naver.com/place/11639707/home?entry=bmp&from=map&fromPanelNum=1&ts=1693143748734
유니플렉스,공연장,4.28,834,서울 종로구 대학로12길 64,02-766-2115,https://pcmap.place.naver.com/place/33211250/home?entry=bmp&from=map&fromPanelNum=1&ts=1693143754139
세종문화회관 S씨어터,"공연,연극시설",4.18,정보 없음,서울 종로구 세종대로 175,정보 없음,https://pcmap.place.naver.com/place/1874562298/home?entry=bmp&from=map&fromPanelNum=1&ts=1693143759387
아스가르드 씨어터,공연장,4.57,1029,서울 종로구 동숭길 140 지하 1층,0507-1318-6014,https://pcmap.place.naver.com/place/1470639686/home?entry=bmp&from=map&fromPanelNum=1&ts=1693143766260
아트포레스트,공연장,4.5,정보 없음,서울 종로구 대학로12길 22,정보 없음,https://pcmap.place.naver.com/place/51429752/home?entry=bmp&from=map&fromPanelNum=1&ts=1693143771210
서경대학교 공연예술센터,공연장,4.5,정보 없음,서울 종로구 동숭길 148,정보 없음,https://pcmap.place.naver.com/place/1249778156/home?entry=bmp&from=map&fromPanelNum=1&ts=1693143778737
서연아트홀,공연장,4.57,정보 없음,서울 종로구 창경궁로 258-9,070-5180-5956,https://pcmap.place.naver.com/place/11639701/home?entry=bmp&from=map&fromPanelNum=1&ts=1693143785819
