name,address_si,address_gu,address_lo,address_detail,period_start,period_end,url,created_at
(얼리버드 2차) Let’s Play Art展,서울,서초구,남부순환로325길,9 예술의전당 한가람미술관 3층,2023-07-22,2023-09-10,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=23009011,2023-08-17 15:19:50.523167
(얼리버드 3차) Let’s Play Art展,서울,서초구,남부순환로325길,9 예술의전당 한가람미술관 3층,2023-07-22,2023-09-10,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=23009606,2023-08-17 15:19:50.613539
［ 특가할인 ］ 어린왕자 인 서울,서울,마포구,와우산로21길,20-11 띠아트 홍대,2023-08-05,2023-10-01,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=23010911,2023-08-17 15:19:50.693904
［6월 2차 얼리버드!］진격의 거인전 FINAL in SEOUL,정보 없음,정보 없음,정보 없음,홍대 AK& 4층 네이처랩스,2023-07-15,2023-10-15,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=23006437,2023-08-17 15:19:50.775767
［7월 3차 얼리버드!］진격의 거인전 FINAL in SEOUL,정보 없음,정보 없음,정보 없음,홍대 AK& 4층 네이처랩스,2023-07-15,2023-10-15,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=23009139,2023-08-17 15:19:50.869969
［8월 회차］알폰스 무하: 더 골든 에이지,서울,중구,남대문로,73 그라운드시소 명동,2023-08-01,2023-08-31,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=23010409,2023-08-17 15:19:50.984600
［8월할인］ 빛의 시어터 입장권,서울,광진구,워커힐로,177 빛의 시어터,2023-08-01,2023-08-31,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=23010695,2023-08-17 15:19:51.076005
［남산］ 영재한음(국악)회,정보 없음,정보 없음,정보 없음,영재한음(국악)회,2023-07-18,2023-10-29,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=Y3000964,2023-08-17 15:19:51.159765
"［북촌］2023년 7,8월-어둠속의대화(DIALOGUE IN THE DARK)",서울,종로구,북촌로,71 북촌 어둠속의대화,2010-01-20,2023-08-31,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=22012762,2023-08-17 15:19:51.246561
"［북촌］2023년 9,10월-어둠속의대화(DIALOGUE IN THE DARK)",서울,종로구,북촌로,71 북촌 어둠속의대화,2010-01-20,2023-10-31,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=22012604,2023-08-17 15:19:51.329791
［서울 광진구］ 요리소리노리 체험전 주말 이용권_인터파크,정보 없음,정보 없음,정보 없음,［서울 광진구］ 요리소리노리 체험전,2023-05-18,2023-09-03,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=Y3000525,2023-08-17 15:19:51.419010
［서울 잠실］ 롯데월드 아쿠아리움+서울스카이PKG 8월,서울,송파구,올림픽로,300 롯데월드 아쿠아리움,2023-08-01,2023-08-31,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=Y3001050,2023-08-17 15:19:51.509089
［서울/코엑스］ K-일러스트레이션페어 서울 2024,정보 없음,정보 없음,정보 없음,K-일러스트레이션페어 서울 2024,2023-05-16,2024-02-25,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=Y3000506,2023-08-17 15:19:51.587545
［서울］남호주 와인 그랜드 테이스팅＆BBQ 디너 이벤트,정보 없음,정보 없음,정보 없음,그랜드 하얏트 서울 워터폴 가든,2023-08-30,2023-08-30,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=23010585,2023-08-17 15:19:51.684324
［서울］아라리오뮤지엄 인 스페이스,서울,종로구,율곡로,83 아라리오뮤지엄 인 스페이스,2022-05-01,2023-09-10,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=22005306,2023-08-17 15:19:51.769462
［서울］아라리오뮤지엄 인 스페이스,서울,종로구,율곡로,83 아라리오뮤지엄 인 스페이스,2023-09-11,2025-12-31,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=23010657,2023-08-17 15:19:51.856756
［소풍］ 창경궁 야경투어,서울,종로구,성균관로3길,23 창경궁,2023-06-28,2024-12-31,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=23008852,2023-08-17 15:19:51.937514
［소풍］덕수궁 야경투어,서울,중구,세종대로,99 덕수궁,2020-01-22,2023-12-31,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=20001127,2023-08-17 15:19:52.019651
［썸머이벤트］［20%할인］시크릿 오브 컬러 올림피아 자그놀리,정보 없음,정보 없음,정보 없음,일상비일상의틈byU+,2023-07-07,2023-08-31,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=23009372,2023-08-17 15:19:52.103873
［얼리버드 40%］ CAT ART : 고양이 미술사,서울,송파구,잠실로,209 MUSEUM 209,2023-07-06,2023-08-27,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=23008479,2023-08-17 15:19:52.190112
［얼리버드 50%］ 오스틴 리: 패싱타임,서울,송파구,올림픽로,300 롯데뮤지엄,2023-09-26,2023-12-31,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=23010382,2023-08-17 15:19:52.270196
［얼리버드］ 2023 아시아프＆히든아티스트 페스티벌,정보 없음,정보 없음,정보 없음,서울 홍익대학교 현대미술관(홍문관),2023-07-25,2023-08-20,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=23009121,2023-08-17 15:19:52.359558
［얼리버드］ 미구엘 슈발리에 디지털 뷰티 시즌2,정보 없음,정보 없음,정보 없음,아라아트센터 지하 1층,2023-08-01,2023-09-10,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=23010241,2023-08-17 15:19:52.445463
［얼리버드］ 숭고 SUBLIME,정보 없음,정보 없음,정보 없음,뮤지엄웨이브,2023-06-17,2023-09-17,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=23007542,2023-08-17 15:19:52.529947
［얼리버드］ 스티키몬스터랩: 스틸 라이프,서울,성동구,아차산로17길,49 그라운드시소 성수,2023-09-21,2024-01-07,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=23011168,2023-08-17 15:19:52.620364
［얼리버드］ 알폰스무하 이모션 인 서울,정보 없음,정보 없음,정보 없음,DDP 뮤지엄 전시1관,2023-07-22,2023-08-31,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=23009042,2023-08-17 15:19:52.701004
［얼리버드］ 일리야 밀스타인,서울,강남구,테헤란로,518 마이아트뮤지엄,2023-09-20,2023-12-15,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=23010919,2023-08-17 15:19:52.781580
［얼리버드］ CAT ART : 고양이 미술사,서울,송파구,잠실로,209 MUSEUM 209,2023-07-06,2023-08-27,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=23008207,2023-08-17 15:19:52.863096
［얼리버드］2023 브리즈 아트페어,정보 없음,정보 없음,정보 없음,"노들섬 노들갤러리 1,2관",2023-08-17,2023-09-02,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=23010656,2023-08-17 15:19:52.944475
［얼리버드］스폰지밥의 우당탕탕 시간여행展,정보 없음,정보 없음,정보 없음,용산아이파크몰 6F 대원뮤지엄,2023-08-12,2023-09-11,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=23010125,2023-08-17 15:19:53.028381
［여름방학 패키지］프랑스국립현대미술관전 : 라울 뒤피,정보 없음,정보 없음,정보 없음,더현대서울 6층 ALT.1,2023-07-28,2023-08-25,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=23010559,2023-08-17 15:19:53.111483
［정규도슨트 예약］ 피카소와 20세기 거장들,서울,강남구,테헤란로,518 마이아트뮤지엄,2023-04-17,2023-08-31,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=23005474,2023-08-17 15:19:53.192813
［특가할인］에곤실레와 클림트,서울,마포구,와우산로21길,20-11 띠아트 홍대,2023-05-05,2023-10-01,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=23004409,2023-08-17 15:19:53.287011
［티켓포함］ 신기환의 문화역서울284: 헤더윅스튜디오展 도슨트 투어,서울,중구,통일로,1 문화역서울284,2023-08-17,2023-09-06,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=23011419,2023-08-17 15:19:53.366922
［파주］ 헤이리예술마을 〈빈센트 반 고흐 : 향기를 만나다〉,정보 없음,정보 없음,정보 없음,주식회사빅포미디어,2023-03-09,2023-09-30,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=23003389,2023-08-17 15:19:53.443750
"［HYBE INSIGHT］The Daydream Believers : 꿈, 마침내",정보 없음,정보 없음,정보 없음,리드빌딩,2023-06-09,2023-08-27,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=23006600,2023-08-17 15:19:53.530960
1101 어린이라운지 이용권,정보 없음,정보 없음,정보 없음,예술의전당 1101 어린이라운지,2020-01-11,2023-12-31,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=19018891,2023-08-17 15:19:53.618690
2002 한일 월드컵 20주년 기념 특별전,서울,마포구,월드컵로,240 풋볼 팬타지움 (2002 FIFA 월드컵 기념관),2022-06-01,2023-12-31,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=22006119,2023-08-17 15:19:53.701441
2023 라움 아트 페스티벌,충남,아산시,어의정로,117 라움아트센터,2023-08-23,2023-09-21,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=23011675,2023-08-17 15:19:53.786475
