name,address_si,address_gu,address_lo,address_detail,period_start,period_end,url,created_at,lat,lng,naver_place_id
[예술의전당 한가람미술관 3층] (얼리버드 2차) Let’s Play Art展,서울특별시,서초구,서초동,700번지,2023-07-22 00:00:00,2023-09-10 00:00:00,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=23009011,2023-09-07 16:58:00.327668+00:00,127.0152560,37.4810908,13457651
[예술의전당 한가람미술관 3층] (얼리버드 3차) Let’s Play Art展,서울특별시,서초구,서초동,700번지,2023-07-22 00:00:00,2023-09-10 00:00:00,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=23009606,2023-09-07 16:58:02.141734+00:00,127.0152560,37.4810908,13457651
[홍대 AK& 4층 네이처랩스] ［6월 2차 얼리버드!］진격의 거인전 FINAL in SEOUL,서울특별시,마포구,양화로,188(동교동) AK PLAZA 홍대점 4층,2023-07-15 00:00:00,2023-10-15 00:00:00,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=23006437,2023-09-07 16:58:02.915324+00:00,126.9267785,37.5574453,1426315717
[홍대 AK& 4층 네이처랩스] ［7월 3차 얼리버드!］진격의 거인전 FINAL in SEOUL,서울특별시,마포구,양화로,188(동교동) AK PLAZA 홍대점 4층,2023-07-15 00:00:00,2023-10-15 00:00:00,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=23009139,2023-09-07 16:58:03.730475+00:00,126.9267785,37.5574453,1426315717
[빛의 시어터] ［9월할인］ 빛의 시어터 입장권,서울특별시,광진구,워커힐로,177(광장동) B1층,2023-09-01 00:00:00,2023-09-30 00:00:00,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=23012358,2023-09-07 16:58:06.209543+00:00,127.1107738,37.5551690,1368948121
"[북촌 어둠속의대화] ［북촌］2023년 9,10월-어둠속의대화(DIALOGUE IN THE DARK)",서울특별시,종로구,가회동,1-29,2010-01-20 00:00:00,2023-10-31 00:00:00,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=22012604,2023-09-07 16:58:08.924441+00:00,126.9848082,37.5833088,13034552
[창경궁] ［소풍］ 창경궁 야경투어,서울특별시,종로구,와룡동,2-1,2023-06-28 00:00:00,2024-12-31 00:00:00,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=23008852,2023-09-07 16:58:12.115028+00:00,126.9950425,37.5805913,11571740
[덕수궁] ［소풍］덕수궁 야경투어,서울특별시,중구,세종대로,99 (정동),2020-01-22 00:00:00,2023-12-31 00:00:00,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=20001127,2023-09-07 16:58:13.033637+00:00,126.9737396,37.5658456,11571730
[롯데뮤지엄] ［얼리버드 50%］ 오스틴 리: 패싱타임,서울특별시,송파구,올림픽로,300 (신천동),2023-09-26 00:00:00,2023-12-31 00:00:00,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=23010382,2023-09-07 16:58:14.151074+00:00,127.1025625,37.5125702,11620605
[인사동 KOTE 3F] ［얼리버드］ 동물 없는 동물원 展,서울특별시,종로구,인사동길,7(인사동) 인사동 KOTE,2023-09-14 00:00:00,2023-10-08 00:00:00,http://ticket.interpark.com/TIKI/Main/TikiGoodsInfo.asp?GoodsCode=23011925,2023-09-07 16:58:15.071830+00:00,126.9868481,37.5715630,742213095
